Sample,Total length,Segment,Width,Colour,dwt mg
52A-1.0,5.6,1,N,A,1.5
52A-1.0,5.6,2,W,A,3.7
52A-1.0,5.6,3,W,A,4
52A-1.0,5.6,4,W,A,2.5
52A-1.0,5.6,5,N,A,2
52A-1.0,7.9,1,N,A,1.1
52A-1.0,7.9,2,W,A,5.2
52A-1.0,7.9,3,W,A,2.3
52A-1.0,7.9,4,W,A,3
52A-1.0,7.9,5,W,A,3.5
52A-1.0,7.9,6,W,A,1.7
52A-1.0,7.9,7,N,A,0.9
52A-1.0,6,1,N,A,2.7
52A-1.0,6,2,W,A,5.1
52A-1.0,6,3,W,A,7.7
52A-1.0,6,4,W,A,6.6
52A-1.0,6,5,W,A,5.1
52A-1.0,6,6,W,A,5.9
52C-4.1,9.2,1,N,A,2.3
52C-4.1,9.2,2,W,A,2.4
52C-4.1,9.2,3,N,A,1.9
52C-4.1,9.2,4,W,A,3.9
52C-4.1,9.2,5,W,A,3.9
52C-4.1,9.2,6,W,A,4.4
52C-4.1,9.2,7,W,B,2.3
52C-4.1,9.2,8,W,B,1.6
52C-4.1,9.2,9,W,D,1.1
52C-4.1,6.6,1,N,A,2.2
52C-4.1,6.6,2,W,A,1.8
52C-4.1,6.6,3,N,A,1.2
52C-4.1,6.6,4,W,A,2
52C-4.1,6.6,5,W,A,2.8
52C-4.1,6.6,6,W,A,1.8
52C-4.1,7.1,1,N,A,1.8
52C-4.1,7.1,2,W,A,1.9
52C-4.1,7.1,3,W,A,1.5
52C-4.1,7.1,4,W,A,2.6
52C-4.1,7.1,5,W,A,2.1
52C-4.1,7.1,6,W,A,1.9
52C-4.1,7.1,7,W,A,2.5
52C-4.0,6.2,1,N,A,1.9
52C-4.0,6.2,2,W,A,2.9
52C-4.0,6.2,3,W,A,4.8
52C-4.0,6.2,4,W,A,3.5
52C-4.0,6.2,5,W,A,2.1
52C-4.0,6.2,6,W,A,3.3
52C-4.0,8.3,1,N,A,1.7
52C-4.0,8.3,2,W,A,2.9
52C-4.0,8.3,3,W,A,2.4
52C-4.0,8.3,4,W,A,3.1
52C-4.0,8.3,5,W,A,2.5
52C-4.0,8.3,6,W,A,3.6
52C-4.0,8.3,7,W,A,3.6
52C-4.0,8.3,8,W,A,2.8
52C-4.0,7.5,1,W,A,1.9
52C-4.0,7.5,2,W,A,3.9
52C-4.0,7.5,3,W,A,4.2
52C-4.0,7.5,4,W,A,2.5
52C-4.0,7.5,5,W,A,3.8
52C-4.0,7.5,6,W,B,2.5
52C-4.0,7.5,7,N,D,1.2
52C-1.1,5,1,N,A,2.4
52C-1.1,5,2,W,A,3.8
52C-1.1,5,3,W,A,4.5
52C-1.1,5,4,W,A,3.6
52C-1.1,5,5,W,A,3.9
52C-1.1,8.4,1,N,A,3.1
52C-1.1,8.4,2,W,A,5.7
52C-1.1,8.4,3,W,A,5.5
52C-1.1,8.4,4,W,A,5
52C-1.1,8.4,5,W,A,6.2
52C-1.1,8.4,6,W,A,3.7
52C-1.1,8.4,7,W,B,2.4
52C-1.1,8.4,8,W,B,3.8
52C-1.1,5.6,1,N,A,1.6
52C-1.1,5.6,2,N,A,1.5
52C-1.1,5.6,3,W,A,1.5
52C-1.1,5.6,4,N,A,2.1
52C-1.1,5.6,5,W,A,2.6
52C-1.0,4.7,1,N,A,2.4
52C-1.0,4.7,2,W,A,4.1
52C-1.0,4.7,3,W,A,2.9
52C-1.0,4.7,4,W,A,3
52C-1.0,7.3,1,N,A,2.3
52C-1.0,7.3,2,W,A,3.2
52C-1.0,7.3,3,W,A,4.9
52C-1.0,7.3,4,W,A,4.5
52C-1.0,7.3,5,W,A,3.2
52C-1.0,7.3,6,W,B,1.5
52C-1.0,7.3,7,W,B,2
52C-1.0,5.4,1,N,A,1.8
52C-1.0,5.4,2,W,A,3.4
52C-1.0,5.4,3,W,A,9.9
52C-1.0,5.4,4,W,A,16.6
52C-1.0,5.4,5,W,A,5.6

34A-4.1,6.8,1,N,A,1.4
34A-4.1,6.8,2,W,A,3.7
34A-4.1,6.8,3,W,A,2.1
34A-4.1,6.8,4,W,A,4.8
34A-4.1,6.8,5,W,A,2.5
34A-4.1,6.8,6,W,B,2.6
34A-4.1,6,1,W,A,2.3
34A-4.1,6,2,W,A,4.2
34A-4.1,6,3,W,A,2.5
34A-4.1,6,4,W,A,3.2
34A-4.1,6,5,W,A,3.2
34A-4.1,6,6,W,B,2.8
34A-4.1,6.3,1,W,A,2.9
34A-4.1,6.3,2,W,A,4.2
34A-4.1,6.3,3,W,A,4.7
34A-4.1,6.3,4,W,A,3.3
34A-4.1,6.3,5,W,A,2.3
34A-4.1,6.3,6,W,A,1.4
34A-4.1,8.2,1,N,A,1.6
34A-4.1,8.2,2,W,A,3.5
34A-4.1,8.2,3,W,A,3.1
34A-4.1,8.2,4,W,A,2.9
34A-4.1,8.2,5,W,B,1.6
34A-4.1,8.2,6,W,B,1.1
34A-4.1,8.2,7,W,A,1.6
34A-4.1,8.2,8,W,A,1.9
34A-4.0,7.6,1,N,A,1.6
34A-4.0,7.6,2,W,A,6.7
34A-4.0,7.6,3,W,A,5.3
34A-4.0,7.6,4,W,A,4.5
34A-4.0,7.6,5,W,A,4.5
34A-4.0,7.6,6,W,A,4.8
34A-4.0,7.6,7,W,B,4.5
34A-4.0,8.9,1,W,A,2.3
34A-4.0,8.9,2,W,A,3.4
34A-4.0,8.9,3,W,A,2.6
34A-4.0,8.9,4,W,A,2.1
34A-4.0,8.9,5,W,A,2.8
34A-4.0,8.9,6,W,A,1.8
34A-4.0,8.9,7,W,B,1.6
34A-4.0,8.9,8,W,B,1.5
34A-1.1,4.7,1,W,A,2.9
34A-1.1,4.7,2,W,A,3
34A-1.1,4.7,3,W,A,1.7
34A-1.1,4.7,4,W,A,2.1
34A-1.1,7.4,1,N,A,1.8
34A-1.1,7.4,2,W,A,3
34A-1.1,7.4,3,N,A,3.3
34A-1.1,7.4,4,W,A,3.2
34A-1.1,7.4,5,N,A,2.3
34A-1.1,7.4,6,W,B,2.6
34A-1.1,7.4,7,W,B,2.1
34A-1.1,4.6,1,N,A,2.2
34A-1.1,4.6,2,W,A,2.8
34A-1.1,4.6,3,W,A,2.4
34A-1.1,4.6,4,W,B,1.8
34A-1.1,5.6,1,N,A,1.5
34A-1.1,5.6,2,N,A,1.2
34A-1.1,5.6,3,W,A,1.6
34A-1.1,5.6,4,N,A,0.9
34A-1.1,5.6,5,W,A,2.1
34A-1.0,7.2,1,N,A,0.5
34A-1.0,7.2,2,W,A,2.5
34A-1.0,7.2,3,W,A,3.8
34A-1.0,7.2,4,W,A,5.7
34A-1.0,7.2,5,W,B,1.4
34A-1.0,7.2,6,W,B,1
34A-1.0,7.2,7,N,D,<0.1
34A-1.0,5.3,1,W,A,3.1
34A-1.0,5.3,2,W,A,5.4
34A-1.0,5.3,3,W,A,4.8
34A-1.0,5.3,4,W,A,7.6
34A-1.0,5.3,5,W,B,2.1
34C-4.1,9,1,N,A,1.2
34C-4.1,9,2,W,A,6.1
34C-4.1,9,3,W,A,4.4
34C-4.1,9,4,N,A,1.6
34C-4.1,9,5,W,A,5.4
34C-4.1,9,6,W,A,3.7
34C-4.1,9,7,W,B,5.5
34C-4.1,9,8,W,B,3.8
34C-4.1,9,9,W,B,2.7
34C-4.1,6.7,1,N,A,0.5
34C-4.1,6.7,2,W,A,3.7
34C-4.1,6.7,3,W,A,3.1
34C-4.1,6.7,4,W,A,3.6
34C-4.1,6.7,5,W,A,3.7
34C-4.1,6.7,6,W,B,2.4
34C-4.0,5.1,1,W,A,2
34C-4.0,5.1,2,W,A,2.4
34C-4.0,5.1,3,W,A,3.5
34C-4.0,5.1,4,W,A,2.4
34C-4.0,5.1,5,W,A,3.2
34C-4.0,8.2,1,N,A,1.2
34C-4.0,8.2,2,W,A,1.8
34C-4.0,8.2,3,W,A,3
34C-4.0,8.2,4,W,A,1.3
34C-4.0,8.2,5,W,A,2.3
34C-4.0,8.2,6,W,A,0.9
34C-4.0,8.2,7,W,A,1.2
34C-4.0,8.2,8,W,B,0.9
34C-4.0,6.8,1,N,A,1
34C-4.0,6.8,2,N,A,1.8
34C-4.0,6.8,3,W,A,3.3
34C-4.0,6.8,4,W,A,2.7
34C-4.0,6.8,5,W,A,4.5
34C-4.0,6.8,6,W,A,2.4
34C-1.1,6.6,1,N,A,0.7
34C-1.1,6.6,2,W,A,2.1
34C-1.1,6.6,3,W,A,2.1
34C-1.1,6.6,4,W,A,1.5
34C-1.1,6.6,5,N,A,1
34C-1.1,6.6,6,W,A,2.4
34C-1.1,6.1,1,N,A,0.6
34C-1.1,6.1,2,W,A,2
34C-1.1,6.1,3,W,A,4.8
34C-1.1,6.1,4,W,A,2.8
34C-1.1,6.1,5,W,A,2.6
34C-1.1,6.1,6,W,A,4
34C-1.0,6.2,1,W,A,3.1
34C-1.0,6.2,2,W,A,2
34C-1.0,6.2,3,N,A,1.9
34C-1.0,6.2,4,W,A,2.3
34C-1.0,6.2,5,W,A,2.6
34C-1.0,6.2,6,W,A,5.3
34C-1.0,4.4,1,W,A,1.6
34C-1.0,4.4,2,W,A,2.7
34C-1.0,4.4,3,W,A,2.6
34C-1.0,4.4,4,W,A,1.4
34C-1.0,5.5,1,W,A,4
34C-1.0,5.5,2,W,A,4.8
34C-1.0,5.5,3,W,A,3.5
34C-1.0,5.5,4,W,A,7.5
34C-1.0,5.5,5,W,B,8.1
64A-4.1,7,1,N,A,1
64A-4.1,7,2,W,A,3.5
64A-4.1,7,3,N,A,2.8
64A-4.1,7,4,W,A,2.9
64A-4.1,7,5,W,A,5.1
64A-4.1,7,6,W,A,4.9
64A-4.1,7,7,W,A,4.7
64A-4.1,6.8,1,N,A,1.4
64A-4.1,6.8,2,N,A,3.4
64A-4.1,6.8,3,W,A,3.3
64A-4.1,6.8,4,W,A,6.8
64A-4.1,6.8,5,W,A,6.9
64A-4.1,6.8,6,W,A,7.3
64A-4.1,6,1,N,A,1.7
64A-4.1,6,2,W,A,4.9
64A-4.1,6,3,W,A,3.3
64A-4.1,6,4,W,A,2.5
64A-4.1,6,5,W,A,2.2
64A-4.1,6,6,W,A,3.9
64A-4.1,5,1,N,A,2.1
64A-4.1,5,2,W,A,3.2
64A-4.1,5,3,W,A,2.5
64A-4.1,5,4,W,A,2.2
64A-4.1,5,5,N,A,1.2
64A-4.0,8.1,1,N,A,1.7
64A-4.0,8.1,2,W,A,3.6
64A-4.0,8.1,3,W,A,2.2
64A-4.0,8.1,4,W,B,1.3
64A-4.0,8.1,5,W,A,2.6
64A-4.0,8.1,6,N,A,1.5
64A-4.0,8.1,7,W,B,1.4
64A-4.0,8.1,8,N,B,1.1
64A-4.0,7.1,1,N,A,1.5
64A-4.0,7.1,2,W,A,4.3
64A-4.0,7.1,3,W,A,3.1
64A-4.0,7.1,4,W,A,2.3
64A-4.0,7.1,5,W,A,3.3
64A-4.0,7.1,6,W,A,2.6
64A-4.0,7.1,7,W,A,3.2
64A-1.1,6,1,W,A,2.4
64A-1.1,6,2,W,A,4.6
64A-1.1,6,3,W,A,3.8
64A-1.1,6,4,W,A,3.4
64A-1.1,6,5,W,A,3.4
64A-1.1,6,6,W,A,2.7
64A-1.1,6,1,N,A,1.4
64A-1.1,6,2,W,A,3
64A-1.1,6,3,W,A,2.6
64A-1.1,6,4,W,A,3.1
64A-1.1,6,5,W,A,4.4
64A-1.1,6,6,W,A,3.7
MISSING 64A-1.0,6,.,.,.,.
64C-4.1,5.2,1,N,A,1.5
64C-4.1,5.2,2,W,A,3.8
64C-4.1,5.2,3,W,A,3.7
64C-4.1,5.2,4,W,B,3
64C-4.1,5.2,5,W,B,2.6
64C-4.1,5.1,1,W,A,1.4
64C-4.1,5.1,2,W,A,2.7
64C-4.1,5.1,3,W,B,0.9
64C-4.1,5.1,4,W,B,2.2
64C-4.1,5.1,5,W,B,1.6
64C-4.0,7.6,1,N,A,0.7
64C-4.0,7.6,2,N,A,1.2
64C-4.0,7.6,3,N,A,0.6
64C-4.0,7.6,4,W,A,1.2
64C-4.0,7.6,5,W,A,1.1
64C-4.0,7.6,6,N,A,0.6
64C-4.0,7.6,7,N,A,0.4
64C-4.0,10.2,1,N,A,1
64C-4.0,10.2,2,N,A,1.6
64C-4.0,10.2,3,W,A,7.1
64C-4.0,10.2,4,W,A,2.4
64C-4.0,10.2,5,W,A,5.6
64C-4.0,10.2,6,W,A,1.4
64C-4.0,10.2,7,W,A,2
64C-4.0,10.2,8,W,A,2.6
64C-4.0,10.2,9,W,A,2.7
64C-4.0,10.2,10,N,A,1.3
64C-4.0,8.3,1,N,A,1.1
64C-4.0,8.3,2,N,A,1.5
64C-4.0,8.3,3,N,A,1.5
64C-4.0,8.3,4,W,A,1.3
64C-4.0,8.3,5,W,A,1
64C-4.0,8.3,6,W,A,1.6
64C-4.0,8.3,7,N,A,1.4
64C-4.0,8.3,8,W,A,1.9
64C-1.1,7.5,1,W,A,2.6
64C-1.1,7.5,2,W,A,3.6
64C-1.1,7.5,3,W,A,3
64C-1.1,7.5,4,W,A,3.5
64C-1.1,7.5,5,W,A,2.7
64C-1.1,7.5,6,W,A,2.8
64C-1.1,7.5,7,W,B,1.3
64C-1.1,8.5,1,N,A,0.9
64C-1.1,8.5,2,W,A,5.8
64C-1.1,8.5,3,W,A,4.8
64C-1.1,8.5,4,W,A,2.5
64C-1.1,8.5,5,W,A,2.2
64C-1.1,8.5,6,N,A,1.3
64C-1.1,8.5,7,W,B,1.6
64C-1.1,8.5,8,N,B,1.6
64C-1.0,5.6,1,W,A,1.9
64C-1.0,5.6,2,W,A,2.2
64C-1.0,5.6,3,W,A,2.1
64C-1.0,5.6,4,W,A,2.2
64C-1.0,5.6,5,N,A,0.7
64C-1.0,5.3,1,N,A,1.3
64C-1.0,5.3,2,N,A,1.4
64C-1.0,5.3,3,W,A,2.3
64C-1.0,5.3,4,W,A,2.3
64C-1.0,5.3,5,N,D,0.6
64C-1.0,6.2,1,N,A,0.9
64C-1.0,6.2,2,N,A,0.6
64C-1.0,6.2,3,W,A,1.4
64C-1.0,6.2,4,W,A,1.2
64C-1.0,6.2,5,N,B,1.2
64C-1.0,6.2,6,W,A,5.3
74A-4.1,9.8,1,W,A,2
74A-4.1,9.8,2,W,A,4
74A-4.1,9.8,3,W,A,4.4
74A-4.1,9.8,4,W,A,2.4
74A-4.1,9.8,5,W,B,4.3
74A-4.1,9.8,6,W,B,3
74A-4.1,9.8,7,W,B,2.8
74A-4.1,9.8,8,W,B,1.6
74A-4.1,9.8,9,W,D,1.2
74A-4.1,7.4,1,N,A,2
74A-4.1,7.4,2,W,A,9.6
74A-4.1,7.4,3,W,A,7.8
74A-4.1,7.4,4,W,A,5.3
74A-4.1,7.4,5,W,A,5.5
74A-4.1,7.4,6,W,B,6.7
74A-4.1,7.4,7,W,B,4.9
74A-4.1,9.6,1,N,A,1.5
74A-4.1,9.6,2,W,A,5
74A-4.1,9.6,3,W,A,4.9
74A-4.1,9.6,4,W,A,3.4
74A-4.1,9.6,5,W,A,4.6
74A-4.1,9.6,6,W,A,6.4
74A-4.1,9.6,7,W,A,9.9
74A-4.1,9.6,8,W,A,5.1
74A-4.1,9.6,9,N,A,2.1
74A-4.0,8.1,1,N,A,1.6
74A-4.0,8.1,2,W,A,3.1
74A-4.0,8.1,3,W,A,2.8
74A-4.0,8.1,4,N,A,2.1
74A-4.0,8.1,5,W,A,2.8
74A-4.0,8.1,6,W,A,2.3
74A-4.0,8.1,7,W,A,3
74A-4.0,8.1,8,W,A,2.3
74A-4.0,9.5,1,N,A,2.1
74A-4.0,9.5,2,W,A,3.3
74A-4.0,9.5,3,W,A,3.5
74A-4.0,9.5,4,N,A,2.6
74A-4.0,9.5,5,W,A,3.2
74A-4.0,9.5,6,W,A,2.6
74A-4.0,9.5,7,W,B,1.8
74A-4.0,9.5,8,W,B,2.4
74A-4.0,9.5,9,W,B,2.2
74A-1.1,7.9,1,N,A,1.6
74A-1.1,7.9,2,W,A,3
74A-1.1,7.9,3,W,A,2.7
74A-1.1,7.9,4,W,A,2.7
74A-1.1,7.9,5,W,A,2.2
74A-1.1,7.9,6,W,A,3
74A-1.1,7.9,7,W,A,3.9
74A-1.1,6.8,1,N,A,1.8
74A-1.1,6.8,2,W,A,2.5
74A-1.1,6.8,3,W,A,3.6
74A-1.1,6.8,4,W,A,3.6
74A-1.1,6.8,5,W,A,3.4
74A-1.1,6.8,6,W,A,3.3
74A-1.0,5.8,1,N,A,1.7
74A-1.0,5.8,2,W,A,4.3
74A-1.0,5.8,3,W,A,3.1
74A-1.0,5.8,4,W,A,2.9
74A-1.0,5.8,5,W,A,3.2
74A-1.0,8.4,1,W,A,2.1
74A-1.0,8.4,2,W,A,3.4
74A-1.0,8.4,3,W,A,2.8
74A-1.0,8.4,4,W,A,2.5
74A-1.0,8.4,5,W,A,2.1
74A-1.0,8.4,6,W,A,2.5
74A-1.0,8.4,7,W,B,1.9
74A-1.0,8.4,8,W,D,1.1
74C-4.1,6.5,1,W,A,3.7
74C-4.1,6.5,2,W,A,4.7
74C-4.1,6.5,3,W,A,3.5
74C-4.1,6.5,4,W,A,4.7
74C-4.1,6.5,5,W,A,3.8
74C-4.1,6.5,6,W,A,3.1
74C-4.1,5.1,1,N,A,1.9
74C-4.1,5.1,2,W,A,3.4
74C-4.1,5.1,3,W,A,2.9
74C-4.1,5.1,4,W,B,3.1
74C-4.1,5.1,5,W,B,2.5
74C-4.0,5,1,W,A,3.1
74C-4.0,5,2,W,A,7.1
74C-4.0,5,3,W,A,9.3
74C-4.0,5,4,W,A,5.9
74C-4.0,5,5,W,A,6.7
74C-4.0,4.5,1,N,A,1.5
74C-4.0,4.5,2,W,A,5
74C-4.0,4.5,3,W,A,2.9
74C-4.0,4.5,4,W,A,5.6
74C-4.0,5.1,1,W,A,2.6
74C-4.0,5.1,2,W,A,3.8
74C-4.0,5.1,3,W,A,6.9
74C-4.0,5.1,4,W,A,6
74C-4.0,5.1,5,W,A,3.7
74C-1.1,4,1,W,A,1.7
74C-1.1,4,2,W,A,4.5
74C-1.1,4,3,W,A,2.3
74C-1.1,4,4,N,A,1.4
74C-1.1,5,1,N,A,0.7
74C-1.1,5,2,W,A,1.7
74C-1.1,5,3,W,A,1.3
74C-1.1,5,4,W,B,0.6
74C-1.1,5,5,N,D,<0.1
74C-1.0,5,1,W,A,3.2
74C-1.0,5,2,W,A,4
74C-1.0,5,3,W,A,2.3
74C-1.0,5,4,W,A,3.1
74C-1.0,5,5,W,A,2.5
74C-1.0,5,1,W,A,2.6
74C-1.0,5,2,W,A,2.3
74C-1.0,5,3,W,A,3.3
74C-1.0,5,4,W,A,1.9
74C-1.0,5,5,N,B,0.5
74C-1.0,6.8,1,W,A,3.6
74C-1.0,6.8,2,W,A,3.9
74C-1.0,6.8,3,W,A,3.8
74C-1.0,6.8,4,W,A,3.1
74C-1.0,6.8,5,W,B,2.1
74C-1.0,6.8,6,W,B,3
84A-4.1,7.4,1,W,A,2.9
84A-4.1,7.4,2,W,A,4.4
84A-4.1,7.4,3,W,A,3.3
84A-4.1,7.4,4,W,A,3.2
84A-4.1,7.4,5,W,A,4.5
84A-4.1,7.4,6,W,A,2.5
84A-4.1,7.4,7,W,A,3.9
84A-4.1,7,1,N,A,3
84A-4.1,7,2,W,A,3.7
84A-4.1,7,3,W,A,2.8
84A-4.1,7,4,W,A,2.2
84A-4.1,7,5,W,A,1.7
84A-4.1,7,6,W,B,2.6
84A-4.1,7,7,W,D,0.5
84A-4.0,10.3,1,N,A,1.8
84A-4.0,10.3,2,W,A,3.3
84A-4.0,10.3,3,W,A,4.1
84A-4.0,10.3,4,N,A,1.8
84A-4.0,10.3,5,W,A,2
84A-4.0,10.3,6,W,A,2.8
84A-4.0,10.3,7,W,A,3
84A-4.0,10.3,8,W,A,2.1
84A-4.0,10.3,9,N,D,1.1
84A-4.0,10.3,10,N,D,0.1
84A-4.0,8.2,1,W,A,2.6
84A-4.0,8.2,2,W,A,3.6
84A-4.0,8.2,3,W,A,3.8
84A-4.0,8.2,4,W,A,2.6
84A-4.0,8.2,5,W,A,4.6
84A-4.0,8.2,6,W,B,2.7
84A-4.0,8.2,7,W,A,3
84A-4.0,8.2,8,W,D,1.2
84A-1.1,6.6,1,W,A,4.3
84A-1.1,6.6,2,W,A,5.8
84A-1.1,6.6,3,W,A,3.5
84A-1.1,6.6,4,W,A,2.4
84A-1.1,6.6,5,N,A,2.1
84A-1.1,6.6,6,N,A,1.6
84A-1.1,9.3,1,W,A,4.4
84A-1.1,9.3,2,W,A,5.3
84A-1.1,9.3,3,W,A,2.4
84A-1.1,9.3,4,N,A,3.9
84A-1.1,9.3,5,W,A,3.5
84A-1.1,9.3,6,W,A,2.8
84A-1.1,9.3,7,W,A,3.3
84A-1.1,9.3,8,W,A,2.4
84A-1.1,9.3,9,W,A,2.9
84A-1.0,6,1,N,A,2.5
84A-1.0,6,2,W,A,3.1
84A-1.0,6,3,W,A,4.2
84A-1.0,6,4,W,A,4.9
84A-1.0,6,5,W,A,3.8
84A-1.0,6,6,W,A,4.2
84A-1.0,8.5,1,W,A,3.7
84A-1.0,8.5,2,W,A,6.2
84A-1.0,8.5,3,W,A,4.4
84A-1.0,8.5,4,W,A,4.3
84A-1.0,8.5,5,W,A,4.3
84A-1.0,8.5,6,W,B,4
84A-1.0,8.5,7,N,D,1.4
84A-1.0,8.5,8,W,B,3.2
84C-4.1,10.5,1,N,A,1.4
84C-4.1,10.5,2,W,A,4.4
84C-4.1,10.5,3,W,A,4.2
84C-4.1,10.5,4,W,A,3
84C-4.1,10.5,5,W,A,5.5
84C-4.1,10.5,6,W,A,5.3
84C-4.1,10.5,7,W,B,3.5
84C-4.1,10.5,8,W,B,3.1
84C-4.1,10.5,9,N,B,1.8
84C-4.1,10.5,10,W,B,2.6
84C-4.1,8.8,1,W,A,3
84C-4.1,8.8,2,W,A,3.2
84C-4.1,8.8,3,W,A,3.1
84C-4.1,8.8,4,W,B,2.5
84C-4.1,8.8,5,W,B,2.8
84C-4.1,8.8,6,W,B,0.9
84C-4.1,8.8,7,W,B,2.5
84C-4.1,8.8,8,W,B,1.7
84C-4.0,6.2,1,N,A,0.5
84C-4.0,6.2,2,N,A,1.2
84C-4.0,6.2,3,W,A,2.2
84C-4.0,6.2,4,W,A,1.9
84C-4.0,6.2,5,W,B,1
84C-4.0,6.2,6,N,B,0.7
84C-4.0,4.3,1,W,A,1.6
84C-4.0,4.3,2,W,A,2.6
84C-4.0,4.3,3,W,A,3.7
84C-4.0,4.3,4,W,A,4
84C-4.0,4.8,1,N,A,1.5
84C-4.0,4.8,2,W,A,2.4
84C-4.0,4.8,3,W,A,1.8
84C-4.0,4.8,4,W,A,1.2
84C-1.1,6.5,1,N,A,1.3
84C-1.1,6.5,2,W,A,3.1
84C-1.1,6.5,3,W,A,2.6
84C-1.1,6.5,4,W,B,2
84C-1.1,6.5,5,W,B,2.4
84C-1.1,6.5,6,W,B,1.7
84C-1.1,9.6,1,W,A,3.1
84C-1.1,9.6,2,W,A,4.9
84C-1.1,9.6,3,W,A,3.5
84C-1.1,9.6,4,W,A,2.6
84C-1.1,9.6,5,W,B,3.1
84C-1.1,9.6,6,W,B,2.1
84C-1.1,9.6,7,W,B,1.6
84C-1.1,9.6,8,W,B,1.7
84C-1.1,9.6,9,N,B,0.8
84C-1.1,7.3,1,W,A,2.2
84C-1.1,7.3,2,W,A,1.6
84C-1.1,7.3,3,W,A,2.2
84C-1.1,7.3,4,W,A,2.2
84C-1.1,7.3,5,W,A,1.7
84C-1.1,7.3,6,W,A,1.9
84C-1.1,7.3,7,N,B,1
84C-1.0,5.8,1,N,A,0.4
84C-1.0,5.8,2,N,A,0.8
84C-1.0,5.8,3,W,A,2
84C-1.0,5.8,4,W,A,3.6
84C-1.0,5.8,5,W,B,2.7
84C-1.0,9.3,1,N,A,1.2
84C-1.0,9.3,2,W,A,1.9
84C-1.0,9.3,3,W,A,2.1
84C-1.0,9.3,4,W,A,3.6
84C-1.0,9.3,5,W,B,2.5
84C-1.0,9.3,6,N,B,1.3
84C-1.0,9.3,7,N,D,1.4
84C-1.0,9.3,8,W,D,2.2
84C-1.0,9.3,9,W,B,2.3
84C-1.0,8.1,1,W,A,1.8
84C-1.0,8.1,2,W,A,4.2
84C-1.0,8.1,3,W,A,4.6
84C-1.0,8.1,4,W,A,2.9
84C-1.0,8.1,5,W,B,3.4
84C-1.0,8.1,6,W,A,5.6
84C-1.0,8.1,7,W,B,4.1
84C-1.0,8.1,8,W,B,2.3
54A-4.1,6,1,W,A,1.9
54A-4.1,6,2,W,A,2.8
54A-4.1,6,3,W,A,4.7
54A-4.1,6,4,W,A,4.6
54A-4.1,6,5,W,A,5.7
54A-4.1,6,6,W,A,6
54A-4.1,7.3,1,N,A,3.1
54A-4.1,7.3,2,W,A,3.9
54A-4.1,7.3,3,W,A,7.3
54A-4.1,7.3,4,W,A,8.9
54A-4.1,7.3,5,W,B,8.2
54A-4.1,7.3,6,W,B,7.8
54A-4.1,7.3,7,W,B,3.7
54A-4.0,5.5,1,N,A,2.2
54A-4.0,5.5,2,W,A,2.8
54A-4.0,5.5,3,W,A,5.6
54A-4.0,5.5,4,W,B,2.8
54A-4.0,5.5,5,W,B,3.2
54A-4.0,7.2,1,N,A,2.3
54A-4.0,7.2,2,W,A,5.2
54A-4.0,7.2,3,W,A,3.2
54A-4.0,7.2,4,W,A,4.3
54A-4.0,7.2,5,W,A,2.8
54A-4.0,7.2,6,W,B,4.2
54A-4.0,7.2,7,W,A,4.6
54A-1.1,9.1,1,W,A,3.2
54A-1.1,9.1,2,W,A,3.8
54A-1.1,9.1,3,W,A,3.1
54A-1.1,9.1,4,N,A,1.7
54A-1.1,9.1,5,W,A,2.8
54A-1.1,9.1,6,W,A,2.5
54A-1.1,9.1,7,W,A,2.9
54A-1.1,9.1,8,W,A,2.5
54A-1.1,9.1,9,W,A,3.3
54A-1.1,8.9,1,N,A,0.9
54A-1.1,8.9,2,W,A,2.4
54A-1.1,8.9,3,W,A,2.5
54A-1.1,8.9,4,N,A,1.3
54A-1.1,8.9,5,W,A,3.2
54A-1.1,8.9,6,N,A,2.1
54A-1.1,8.9,7,W,A,3.3
54A-1.1,8.9,8,W,A,3.5
54A-1.0,8.4,1,N,A,1.6
54A-1.0,8.4,2,W,A,6.8
54A-1.0,8.4,3,W,A,5.1
54A-1.0,8.4,4,W,A,5.1
54A-1.0,8.4,5,W,A,5.4
54A-1.0,8.4,6,W,A,3
54A-1.0,8.4,7,W,A,2.8
54A-1.0,8.4,8,W,B,3
54A-1.0,9.1,1,N,A,2.2
54A-1.0,9.1,2,W,A,2
54A-1.0,9.1,3,W,A,2.2
54A-1.0,9.1,4,W,A,2.4
54A-1.0,9.1,5,W,A,2.3
54A-1.0,9.1,6,W,A,1.8
54A-1.0,9.1,7,N,A,0.9
54A-1.0,9.1,8,W,A,1.8
54A-1.0,9.1,9,W,A,1.4
54C-4.1,7.1,1,W,A,3
54C-4.1,7.1,2,W,A,3.7
54C-4.1,7.1,3,W,A,6.5
54C-4.1,7.1,4,W,A,3.3
54C-4.1,7.1,5,W,B,1.7
54C-4.1,7.1,6,W,B,1.6
54C-4.1,7.1,7,W,B,2
54C-4.1,9.3,1,W,A,4.1
54C-4.1,9.3,2,W,A,4.8
54C-4.1,9.3,3,W,A,3.2
54C-4.1,9.3,4,W,A,4.6
54C-4.1,9.3,5,W,A,6.1
54C-4.1,9.3,6,W,A,5.1
54C-4.1,9.3,7,W,A,4
54C-4.1,9.3,8,W,A,5
54C-4.1,9.3,9,W,A,2.7
MISSING 54C-4.0,9.3,.,.,.,.
54C-1.1,6.5,1,N,A,2.5
54C-1.1,6.5,2,W,A,3.2
