Sample,Total length,Segment,Width,Colour,dwt mg
62A-4.1,7.8,2,W,A,3
62A-4.1,7.8,3,W,A,2.2
62A-4.1,7.8,4,W,A,2.5
62A-4.1,7.8,5,W,A,3.7
62A-4.1,7.8,6,W,A,3.3
62A-4.1,7.8,7,W,B,1.6
62A-4.0,6,1,N,A,2.3
62A-4.0,6,2,W,A,2.9
62A-4.0,6,3,N,A,1.8
62A-4.0,6,4,W,A,3.5
62A-4.0,6,5,W,B,3
62A-4.0,6,6,W,B,3.2
62A-4.0,5.4,1,W,A,3.9
62A-4.0,5.4,2,W,A,4.5
62A-4.0,5.4,3,W,A,6.3
62A-4.0,5.4,4,W,A,7
62A-4.0,5.4,5,W,A,5.7
62A-4.0,7.3,1,W,A,1.9
62A-4.0,7.3,2,W,A,2.9
62A-4.0,7.3,3,W,A,2.3
62A-4.0,7.3,4,W,A,2.6
62A-4.0,7.3,5,N,A,2.7
62A-4.0,7.3,6,W,A,3.3
62A-4.0,7.3,7,W,A,1.8
62A-1.1,5.9,1,W,A,2.6
62A-1.1,5.9,2,W,A,4.3
62A-1.1,5.9,3,W,A,3.4
62A-1.1,5.9,4,W,A,4.5
62A-1.1,5.9,5,W,A,3.7
62A-1.1,6.4,1,W,A,2.7
62A-1.1,6.4,2,W,A,3.3
62A-1.1,6.4,3,W,A,2.4
62A-1.1,6.4,4,W,A,1.7
62A-1.1,6.4,5,W,A,2.7
62A-1.1,6.4,6,W,A,2.6
62A-1.1,7,1,W,A,2.2
62A-1.1,7,2,W,A,4.7
62A-1.1,7,3,W,A,3.3
62A-1.1,7,4,W,A,4.2
62A-1.1,7,5,W,A,2.6
62A-1.1,7,6,W,A,3.3
62A-1.1,7,7,W,A,2.2
62A-1.0,6.7,1,W,A,2.4
62A-1.0,6.7,2,W,A,4.4
62A-1.0,6.7,3,W,A,2.6
62A-1.0,6.7,4,W,A,2.1
62A-1.0,6.7,5,W,A,2
62A-1.0,6.7,6,W,A,4
62A-1.0,10.6,1,N,A,1.3
62A-1.0,10.6,2,W,A,2
62A-1.0,10.6,3,W,A,1.9
62A-1.0,10.6,4,W,A,2.8
62A-1.0,10.6,5,W,A,3.3
62A-1.0,10.6,6,W,A,2.5
62A-1.0,10.6,7,W,A,2.6
62A-1.0,10.6,8,W,A,2.6
62A-1.0,10.6,9,W,A,2.1
62A-1.0,10.6,10,N,A,0.7
62A-1.0,6.9,1,W,A,1.9
62A-1.0,6.9,2,W,A,2.7
62A-1.0,6.9,3,W,A,1.7
62A-1.0,6.9,4,W,A,1.5
62A-1.0,6.9,5,W,A,1.5
62A-1.0,6.9,6,W,A,1.6
62C-4.1,6.5,1,W,A,3.3
62C-4.1,6.5,2,W,A,7.3
62C-4.1,6.5,3,W,A,5.9
62C-4.1,6.5,4,W,A,5.2
62C-4.1,6.5,5,W,A,3.8
62C-4.1,6.5,6,W,A,4.3
62C-4.1,9.4,1,W,A,3.3
62C-4.1,9.4,2,W,A,4.1
62C-4.1,9.4,3,W,A,4.5
62C-4.1,9.4,4,W,A,5.4
62C-4.1,9.4,5,W,A,3.6
62C-4.1,9.4,6,W,A,3.1
62C-4.1,9.4,7,N,A,2
62C-4.1,9.4,8,W,A,3
62C-4.1,9.4,9,W,B,3.5
62C-4.1,6.2,1,W,A,2.4
62C-4.1,6.2,2,W,A,4.3
62C-4.1,6.2,3,W,A,3.1
62C-4.1,6.2,4,W,A,2.6
62C-4.1,6.2,5,W,A,2.9
62C-4.1,6.2,6,W,A,2.9
62C-4.0,6,1,N,A,1.8
62C-4.0,6,2,W,A,4.8
62C-4.0,6,3,W,A,3.8
62C-4.0,6,4,W,A,7
62C-4.0,6,5,W,B,6.5
62C-4.0,6,6,W,B,4.4
62C-4.0,5.2,1,N,A,2.6
62C-4.0,5.2,2,W,A,4.4
62C-4.0,5.2,3,W,B,3.8
62C-4.0,5.2,4,W,B,1.9
62C-4.0,5.2,5,W,B,2
62C-4.0,10.1,1,N,A,1.4
62C-4.0,10.1,2,W,A,3
62C-4.0,10.1,3,W,A,5.3
62C-4.0,10.1,4,W,A,5.6
62C-4.0,10.1,5,W,A,4.8
62C-4.0,10.1,6,W,A,3.4
62C-4.0,10.1,7,W,A,2.7
62C-4.0,10.1,8,W,A,2.9
62C-4.0,10.1,9,W,A,4.6
62C-4.0,10.1,10,W,A,2.4
62C-1.1,6.6,1,N,A,2.2
62C-1.1,6.6,2,N,A,2.1
62C-1.1,6.6,3,W,A,4
62C-1.1,6.6,4,W,A,3.7
62C-1.1,6.6,5,W,A,2.8
62C-1.1,6.6,6,W,A,2.6
62C-1.1,4.3,1,N,A,1.8
62C-1.1,4.3,2,W,A,3.8
62C-1.1,4.3,3,W,A,1.3
62C-1.1,4.3,4,W,A,3.3
62C-1.1,6,1,N,A,2.8
62C-1.1,6,2,W,A,3.2
62C-1.1,6,3,W,A,5
62C-1.1,6,4,W,A,7.2
62C-1.1,6,5,W,B,4.1
62C-1.1,6,6,W,A,3
62C-1.0,5.6,1,N,A,1.7
62C-1.0,5.6,2,W,A,2
62C-1.0,5.6,3,W,A,2.3
62C-1.0,5.6,4,W,A,3.2
62C-1.0,5.6,5,W,A,1.3
62C-1.0,9.5,1,N,A,2.1
62C-1.0,9.5,2,W,A,2
62C-1.0,9.5,3,W,A,3.5
62C-1.0,9.5,4,W,A,3.2
62C-1.0,9.5,5,W,A,3.8
62C-1.0,9.5,6,W,A,2.6
62C-1.0,9.5,7,W,A,5.9
62C-1.0,9.5,8,W,B,3
62C-1.0,9.5,9,W,A,3
62C-1.0,8.5,1,W,A,1.2
62C-1.0,8.5,2,W,A,3.2
62C-1.0,8.5,3,W,A,4.1
62C-1.0,8.5,4,W,A,3.6
62C-1.0,8.5,5,W,A,5.5
62C-1.0,8.5,6,W,A,2.9
62C-1.0,8.5,7,W,B,3.3
62C-1.0,8.5,8,N,B,2
72A-4.1,4.3,1,N,A,2
72A-4.1,4.3,2,W,A,3.4
72A-4.1,4.3,3,W,A,3.2
72A-4.1,4.3,4,W,A,2.8
72A-4.1,5.8,1,N,A,1.4
72A-4.1,5.8,2,W,A,1.9
72A-4.1,5.8,3,W,A,1.4
72A-4.1,5.8,4,W,A,1.7
72A-4.1,5.8,5,W,A,3.2
72A-4.1,7.5,1,N,A,2
72A-4.1,7.5,2,W,A,1.8
72A-4.1,7.5,3,W,A,3
72A-4.1,7.5,4,N,B,2.2
72A-4.1,7.5,5,W,B,1.1
72A-4.1,7.5,6,W,A,1.9
72A-4.1,7.5,7,W,A,1.6
72A-4.0,8.1,1,W,A,2.3
72A-4.0,8.1,2,W,A,2.9
72A-4.0,8.1,3,W,A,3.7
72A-4.0,8.1,4,W,A,4.2
72A-4.0,8.1,5,W,A,3.4
72A-4.0,8.1,6,W,A,3
72A-4.0,8.1,7,N,A,1.5
72A-4.0,8.1,8,W,A,4.1
72A-4.0,8,1,W,A,3.1
72A-4.0,8,2,W,A,4.6
72A-4.0,8,3,W,A,4.3
72A-4.0,8,4,W,A,4.1
72A-4.0,8,5,W,A,6.1
72A-4.0,8,6,W,A,7.9
72A-4.0,8,7,W,A,4.2
72A-4.0,8,8,W,A,3.1
72A-4.0,4.7,1,N,A,2.7
72A-4.0,4.7,2,W,A,3.6
72A-4.0,4.7,3,W,A,4.9
72A-4.0,4.7,4,W,A,4.9
72A-1.1,8,1,W,A,2.1
72A-1.1,8,2,W,A,4
72A-1.1,8,3,W,A,2.5
72A-1.1,8,4,W,A,3.7
72A-1.1,8,5,W,A,3.2
72A-1.1,8,6,W,A,3.7
72A-1.1,8,7,W,A,4.8
72A-1.1,8,8,W,A,2.5
72A-1.1,5,1,N,A,2.5
72A-1.1,5,2,W,A,6.6
72A-1.1,5,3,W,A,7
72A-1.1,5,4,W,A,3.9
72A-1.1,5,5,W,A,5.2
72A-1.1,6.9,1,W,A,1.7
72A-1.1,6.9,2,W,A,2.1
72A-1.1,6.9,3,W,A,2.2
72A-1.1,6.9,4,W,A,3
72A-1.1,6.9,5,W,A,2.8
72A-1.1,6.9,6,W,A,3.4
72A-1.0,5.2,1,N,A,2.8
72A-1.0,5.2,2,W,A,5.4
72A-1.0,5.2,3,W,A,5.2
72A-1.0,5.2,4,W,A,5.3
72A-1.0,5.2,5,W,A,6.2
72A-1.0,10.9,1,W,A,3.6
72A-1.0,10.9,2,W,A,3.9
72A-1.0,10.9,3,W,A,4.7
72A-1.0,10.9,4,W,A,2.6
72A-1.0,10.9,5,W,A,2.9
72A-1.0,10.9,6,W,A,2.8
72A-1.0,10.9,7,W,A,3.9
72A-1.0,10.9,8,W,A,4.4
72A-1.0,10.9,9,W,A,3
