ID,Block,Time,Chamber,Plot,Frag,pos,grow01,grow12,grow23,notes01,notes12,notes23
14B-W.0,1,4,B,14B,W,0,.,2.76,5.66,,,
14B-W.1,1,4,B,14B,W,1,.,2.25,6.02,,,curly
14C-1.0,1,4,C,14C,1,0,1.26,-1.65,-0.05,,"dry, curly",dry + curly
14C-1.1,1,4,C,14C,1,1,-2.95,2.46,-0.76,broken; 17.64,,curly
14C-1.N,1,4,C,14C,1,N,2.58,-0.29,-1.29,,,dry + curly
14C-2.0,1,4,C,14C,2,0,3.23,-3.82,2.01,,"dry, curly",dry + curly
14C-2.1,1,4,C,14C,2,1,7.07,2.98,2.83,,,
14C-2.W,1,4,C,14C,2,W,.,1.32,2.51,,,
14C-2.c,1,4,C,14C,2,c,0.69,-2.05,0.50,,dry,dry + curly
14C-2.c2,1,4,C,14C,2,c2,.,3.37,2.87,,,
14C-3.0,1,4,C,14C,3,0,0.48,-2.34,0.91,,dry,dry + curly
14C-3.1,1,4,C,14C,3,1,12.97,7.58,7.25,,,
14C-3.S,1,4,C,14C,3,S,.,4.18,3.64,,,curly
14C-3.c,1,4,C,14C,3,c,6.36,3.87,6.89,,,2 shoots!
14C-3.c2,1,4,C,14C,3,c2,.,0.46,-0.64,,,dry + curly
14C-4.0,1,4,C,14C,4,0,7.12,-6.05,-0.07,,"dry, curly","loose, dry + curly"
14C-4.1,1,4,C,14C,4,1,1.01,7.52,3.57,,,"broke, curly"
14C-4.S,1,4,C,14C,4,S,4.65,1.74,2.58,,,
14C-E.0,1,4,C,14C,E,0,.,0.38,3.70,,,
14C-E.1,1,4,C,14C,E,1,.,5.15,10.92,,,
14C-N.0,1,4,C,14C,N,0,.,5.37,7.32,,,
14C-N.1,1,4,C,14C,N,1,.,2.22,5.15,,,
14C-S.0,1,4,C,14C,S,0,.,3.59,-1.76,,,curly
14C-S.1,1,4,C,14C,S,1,.,2.99,6.14,,,loose thread
14C-W.0,1,4,C,14C,W,0,.,2.47,3.93,,,curly
14C-W.1,1,4,C,14C,W,1,.,-1.41,0.88,dry?,,dry!
23A-1.0,2,3,A,23A,1,0,.,8.53,.,,,broken
23A-1.1,2,3,A,23A,1,1,.,9.74,5.15,,,messy
23A-1.W,2,3,A,23A,1,W,.,4.56,6.78,,broken,"messy, broken?"
23A-2.0,2,3,A,23A,2,0,.,6.74,-0.44,,,
23A-2.1,2,3,A,23A,2,1,.,5.26,8.30,,,
23A-2.N,2,3,A,23A,2,N,.,4.86,5.03,,,
23A-2.c,2,3,A,23A,2,c,.,6.41,6.29,,,
23A-3.0,2,3,A,23A,3,0,.,1.05,-0.99,,,broken
23A-3.1,2,3,A,23A,3,1,.,2.35,2.08,,,
23A-3.E,2,3,A,23A,3,E,.,3.86,2.33,,,
23A-3.c,2,3,A,23A,3,c,.,3.16,-0.02,,,
23A-4.0,2,3,A,23A,4,0,.,3.81,0.52,,,
23A-4.1,2,3,A,23A,4,1,.,5.86,4.60,,,
23A-4.S,2,3,A,23A,4,S,.,5.92,7.79,,,
23B-1.0,2,3,B,23B,1,0,.,5.96,7.09,,,
23B-1.1,2,3,B,23B,1,1,.,0.67,0.29,,,curly
23B-1.N,2,3,B,23B,1,N,.,1.96,0.42,curly,curly,dry + curly
23B-2.0,2,3,B,23B,2,0,.,2.60,5.51,,curly,
23B-2.1,2,3,B,23B,2,1,.,6.49,4.39,,,
23B-2.S,2,3,B,23B,2,S,.,5.13,1.35,,,
23B-2.c,2,3,B,23B,2,c,.,4.77,4.26,,,
23B-3.0,2,3,B,23B,3,0,.,.,.,,broken,broken?
23B-3.1,2,3,B,23B,3,1,.,9.05,6.43,,,
23B-3.E,2,3,B,23B,3,E,.,4.44,-1.86,"curly, loose",,dry + curly
23B-3.c,2,3,B,23B,3,c,.,5.54,0.17,curly,,
23B-4.0,2,3,B,23B,4,0,.,2.39,0.47,,,
23B-4.1,2,3,B,23B,4,1,.,5.50,5.86,,,
23B-4.W,2,3,B,23B,4,W,.,3.07,2.30,,,dry + curly
23C-1.0,2,3,C,23C,1,0,.,1.38,-2.61,curled,"dry, curly",curly + dry
23C-1.1,2,3,C,23C,1,1,.,1.07,0.69,,,
23C-1.W,2,3,C,23C,1,W,.,-1.30,-1.09,,"dry, curly",dry + curly
23C-2.0,2,3,C,23C,2,0,.,0.27,-0.74,,dry,"dry + curly, skinny tip"
23C-2.1,2,3,C,23C,2,1,.,4.34,4.68,,,
23C-2.N,2,3,C,23C,2,N,.,2.35,-0.95,,"dry, loose",
23C-2.c,2,3,C,23C,2,c,.,2.93,0.13,,,
23C-3.0,2,3,C,23C,3,0,.,1.52,-1.33,,dry,
23C-3.1,2,3,C,23C,3,1,.,3.96,3.91,curled,,
23C-3.S,2,3,C,23C,3,S,.,3.69,4.99,,,curly
23C-3.c,2,3,C,23C,3,c,.,2.75,4.54,,,
23C-4.0,2,3,C,23C,4,0,.,2.92,-2.26,,,dry + curly
23C-4.1,2,3,C,23C,4,1,.,4.55,5.58,,,
23C-4.E,2,3,C,23C,4,E,.,4.42,4.59,,,
24A-1.0,2,4,A,24A,1,0,8.28,.,0.48,,broken,broken?
24A-1.1,2,4,A,24A,1,1,3.78,5.82,2.17,broken?,,
24A-1.W,2,4,A,24A,1,W,-0.21,7.04,5.10,broken tip?,loose,
24A-2.0,2,4,A,24A,2,0,7.57,3.08,0.67,,,
24A-2.1,2,4,A,24A,2,1,7.44,5.43,3.08,,,
24A-2.E,2,4,A,24A,2,E,.,3.58,4.26,,,
24A-2.c,2,4,A,24A,2,c,8.55,3.32,5.19,,,
24A-2.c2,2,4,A,24A,2,c2,.,3.40,2.39,,,
24A-3.0,2,4,A,24A,3,0,9.37,11.33,3.88,,,
24A-3.1,2,4,A,24A,3,1,9.68,6.21,3.63,,,
24A-3.N,2,4,A,24A,3,N,.,2.26,5.87,,,
24A-3.c,2,4,A,24A,3,c,7.11,3.57,4.76,,,
24A-3.c2,2,4,A,24A,3,c2,.,.,-0.61,,broken,broken?
24A-4.0,2,4,A,24A,4,0,9.26,0.62,6.82,,,
24A-4.1,2,4,A,24A,4,1,8.00,13.95,2.50,,,"skinny, bent"
24A-4.S,2,4,A,24A,4,S,4.49,.,0.79,,broken,broken?
24A-E.0,2,4,A,24A,E,0,.,1.48,3.28,,curly,
24A-E.1,2,4,A,24A,E,1,.,3.05,1.06,"curly, dry",,
24A-N.0,2,4,A,24A,N,0,.,2.33,4.34,,,
24A-N.1,2,4,A,24A,N,1,.,2.30,2.62,,,curly
24A-S.0,2,4,A,24A,S,0,.,2.38,2.47,,,
24A-S.1,2,4,A,24A,S,1,.,2.15,1.86,,,
24A-W.0,2,4,A,24A,W,0,.,2.45,2.77,curly,,
24A-W.1,2,4,A,24A,W,1,.,1.75,6.60,,,
24B-1.0,2,4,B,24B,1,0,3.27,0.08,-1.41,,,dry + curly
24B-1.1,2,4,B,24B,1,1,5.67,.,-2.37,,broken?,broken?
24B-1.W,2,4,B,24B,1,W,9.55,2.97,3.89,,,
24B-2.0,2,4,B,24B,2,0,2.43,3.59,-1.84,,,dry + curly + demented
24B-2.1,2,4,B,24B,2,1,3.81,6.59,3.71,,,
24B-2.S,2,4,B,24B,2,S,.,3.52,-2.89,curly,curly,curly
24B-2.c,2,4,B,24B,2,c,5.68,.,0.58,,broken?,curly
24B-2.c2,2,4,B,24B,2,c2,.,1.73,-1.04,curly,curly,curly
24B-3.0,2,4,B,24B,3,0,3.45,1.09,-0.27,,curly,
24B-3.1,2,4,B,24B,3,1,4.37,8.06,-2.50,,loose,curly
24B-3.N,2,4,B,24B,3,N,.,3.61,-0.31,curved,,dry + curly
24B-3.c,2,4,B,24B,3,c,6.65,2.54,-0.31,,,
24B-3.c2,2,4,B,24B,3,c2,.,3.63,2.38,,,
24B-4.0,2,4,B,24B,4,0,4.57,3.11,1.03,,,
24B-4.1,2,4,B,24B,4,1,4.81,1.55,4.16,,,
24B-4.N,2,4,B,24B,4,N,6.56,5.66,2.62,,,
24B-E.0,2,4,B,24B,E,0,.,4.15,0.91,loose knot,loose,
24B-E.1,2,4,B,24B,E,1,.,3.52,3.78,,,
24B-N.0,2,4,B,24B,N,0,.,1.41,2.20,,,
24B-N.1,2,4,B,24B,N,1,.,3.53,3.94,,,
24B-S.0,2,4,B,24B,S,0,.,3.88,0.78,,,
24B-S.1,2,4,B,24B,S,1,.,2.71,5.89,,,
24B-W.0,2,4,B,24B,W,0,.,-0.23,-0.67,,,
24B-W.1,2,4,B,24B,W,1,.,4.00,3.25,,,
24C-1.0,2,4,C,24C,1,0,4.97,3.12,1.05,,,
24C-1.1,2,4,C,24C,1,1,8.48,5.98,5.85,,,
24C-1.S,2,4,C,24C,1,S,4.11,12.43,7.17,,loose,
24C-2.0,2,4,C,24C,2,0,0.43,1.09,-2.13,,,
24C-2.1,2,4,C,24C,2,1,4.41,4.38,2.93,,,
24C-2.N,2,4,C,24C,2,N,.,2.66,0.27,,,curly
24C-2.c,2,4,C,24C,2,c,4.92,2.89,0.47,wet,(white thread),
24C-2.c2,2,4,C,24C,2,c2,.,0.13,.,,dry,"broken, dry"
24C-3.0,2,4,C,24C,3,0,2.22,1.21,-1.46,,,dry + curly
24C-3.1,2,4,C,24C,3,1,5.25,4.14,1.76,,,
24C-3.W,2,4,C,24C,3,W,.,3.53,0.20,,,curly
24C-3.c,2,4,C,24C,3,c,5.47,1.14,3.27,,,
24C-3.c2,2,4,C,24C,3,c2,.,3.78,1.50,,,curly
24C-4.0,2,4,C,24C,4,0,-0.33,0.23,-2.23,19.06,,dry + curly
24C-4.1,2,4,C,24C,4,1,7.86,1.28,4.34,,,
24C-4.S,2,4,C,24C,4,S,1.53,2.82,-1.39,dry,,
24C-E.0,2,4,C,24C,E,0,.,2.56,-0.62,curly,curly,curly
24C-E.1,2,4,C,24C,E,1,.,5.98,3.45,,,
24C-N.0,2,4,C,24C,N,0,.,0.02,-0.18,,"dry, curly",
24C-N.1,2,4,C,24C,N,1,.,1.87,0.04,,,curly
24C-S.0,2,4,C,24C,S,0,.,1.91,2.25,,,curly
24C-S.1,2,4,C,24C,S,1,.,1.44,1.81,,,curly
24C-W.0,2,4,C,24C,W,0,.,0.87,3.34,,,
24C-W.1,2,4,C,24C,W,1,.,1.20,1.91,,,
33A-1.0,3,3,A,33A,1,0,.,5.00,1.37,,black thread sux,
33A-1.1,3,3,A,33A,1,1,.,4.83,5.96,,white thread is better,
33A-1.E,3,3,A,33A,1,E,.,9.08,6.96,,,
33A-2.0,3,3,A,33A,2,0,.,4.96,4.58,,,
33A-2.1,3,3,A,33A,2,1,.,6.10,1.10,,,
33A-2.S,3,3,A,33A,2,S,.,3.05,4.61,,,
33A-2.c,3,3,A,33A,2,c,.,0.34,-0.10,,curly,
33A-3.0,3,3,A,33A,3,0,.,2.72,3.53,,curly,
33A-3.1,3,3,A,33A,3,1,.,3.11,3.88,,,
33A-3.W,3,3,A,33A,3,W,.,5.01,5.14,,,
33A-3.c,3,3,A,33A,3,c,.,3.32,3.11,,,
33A-4.0,3,3,A,33A,4,0,.,3.41,3.99,,,
33A-4.1,3,3,A,33A,4,1,.,5.93,8.42,,,
33A-4.N,3,3,A,33A,4,N,.,4.78,8.30,,loose knot,
33B-1.0,3,3,B,33B,1,0,.,1.29,3.12,,curly,
33B-1.1,3,3,B,33B,1,1,.,1.93,3.46,,,
33B-1.W,3,3,B,33B,1,W,.,-1.12,0.63,,,
33B-2.0,3,3,B,33B,2,0,.,3.62,3.01,,,fungus / spores?
33B-2.1,3,3,B,33B,2,1,.,4.09,7.04,,,loose
33B-2.N,3,3,B,33B,2,N,.,2.04,8.25,,,
33B-2.c,3,3,B,33B,2,c,.,-0.37,6.40,,curly,"loose, bent"
33B-3.0,3,3,B,33B,3,0,.,2.76,5.90,,,
33B-3.1,3,3,B,33B,3,1,.,2.87,2.97,,,
33B-3.E,3,3,B,33B,3,E,.,1.01,1.19,,curly,
33B-3.c,3,3,B,33B,3,c,.,0.86,3.33,,curly,curly
33B-4.0,3,3,B,33B,4,0,.,1.42,0.68,,curly,
33B-4.1,3,3,B,33B,4,1,.,4.77,4.00,,curly,
33B-4.S,3,3,B,33B,4,S,.,3.98,1.80,,scrawny,
33C-1.0,3,3,C,33C,1,0,.,0.89,-1.58,,curly,curly
33C-1.1,3,3,C,33C,1,1,.,3.98,6.64,,,
33C-1.E,3,3,C,33C,1,E,.,2.48,0.88,,,
33C-2.0,3,3,C,33C,2,0,.,2.56,-1.62,,,
33C-2.1,3,3,C,33C,2,1,.,8.75,6.47,,,
33C-2.S,3,3,C,33C,2,S,.,2.96,-1.08,,,curly
33C-2.c,3,3,C,33C,2,c,.,8.86,8.81,,,
33C-3.0,3,3,C,33C,3,0,.,-1.01,-0.34,curly,curly,
33C-3.1,3,3,C,33C,3,1,.,4.55,4.60,,,
33C-3.W,3,3,C,33C,3,W,.,-2.71,3.95,,curly,
33C-3.c,3,3,C,33C,3,c,.,6.44,0.80,,,curly
33C-4.0,3,3,C,33C,4,0,.,-0.12,-0.75,,dry,
33C-4.1,3,3,C,33C,4,1,.,2.08,3.64,,curly,
33C-4.N,3,3,C,33C,4,N,.,4.07,5.82,,,
34A-1.0,3,4,A,34A,1,0,3.59,6.86,-6.41,,,curly
34A-1.1,3,4,A,34A,1,1,5.40,5.43,5.54,,,
34A-1.E,3,4,A,34A,1,E,5.37,4.47,0.71,broken tip?,2 shoots (measured longest),
34A-2.0,3,4,A,34A,2,0,0.71,7.97,3.15,,loose shoot,loose
34A-2.1,3,4,A,34A,2,1,4.19,2.41,3.80,,curly,
34A-2.S,3,4,A,34A,2,S,.,3.00,4.53,,,
34A-2.c,3,4,A,34A,2,c,6.45,2.38,5.37,,,bent
34A-2.c2,3,4,A,34A,2,c2,.,1.22,2.09,,,
34A-3.0,3,4,A,34A,3,0,6.82,.,5.77,broke (new length = t1.1),broke,broken (new tip)
34A-3.1,3,4,A,34A,3,1,3.56,4.09,3.24,,,
34A-3.W,3,4,A,34A,3,W,.,3.61,6.12,,,
34A-3.c,3,4,A,34A,3,c,8.53,2.92,6.38,,loose shoot,
34A-3.c2,3,4,A,34A,3,c2,.,3.43,3.94,,,
34A-4.0,3,4,A,34A,4,0,5.28,1.42,5.90,,,
34A-4.1,3,4,A,34A,4,1,4.71,15.70,7.69,,bent,thin
34A-4.E,3,4,A,34A,4,E,1.17,6.75,3.39,,,
34A-E.0,3,4,A,34A,E,0,.,.,0.28,,broken?,broken?
34A-E.1,3,4,A,34A,E,1,.,.,-0.56,,broken?,curly
34A-N.0,3,4,A,34A,N,0,.,1.85,0.70,,,
34A-N.1,3,4,A,34A,N,1,.,2.44,1.15,,,
34A-S.0,3,4,A,34A,S,0,.,-0.24,4.53,,,
34A-S.1,3,4,A,34A,S,1,.,3.09,2.60,,,
34A-W.0,3,4,A,34A,W,0,.,4.00,6.33,,,
34A-W.1,3,4,A,34A,W,1,.,.,1.36,,MIA - lost in snow clearing?,
34B-1.0,3,4,B,34B,1,0,2.31,-0.60,0.81,dry,,dry + curly
34B-1.1,3,4,B,34B,1,1,8.85,7.58,4.91,,,
34B-1.N,3,4,B,34B,1,N,7.51,3.17,2.83,wet,,
34B-2.0,3,4,B,34B,2,0,4.68,1.20,-0.74,wet,,
34B-2.1,3,4,B,34B,2,1,5.62,11.17,-2.56,,,
34B-2.W,3,4,B,34B,2,W,.,1.41,-1.04,curly,,
34B-2.c,3,4,B,34B,2,c,1.10,-0.09,-0.21,dry,,"loose, dry + curly"
34B-2.c2,3,4,B,34B,2,c2,.,2.48,2.28,,curly,
34B-3.0,3,4,B,34B,3,0,5.76,1.09,3.10,wet,,
34B-3.1,3,4,B,34B,3,1,5.74,4.59,0.89,,,
34B-3.W,3,4,B,34B,3,W,.,0.79,-2.21,,,
34B-3.c,3,4,B,34B,3,c,7.52,5.66,3.27,wet,branched stem,2 tips
34B-3.c2,3,4,B,34B,3,c2,.,3.07,-1.28,curly,,"curly, bent"
34B-4.0,3,4,B,34B,4,0,5.86,6.75,4.11,wet,,
34B-4.1,3,4,B,34B,4,1,7.37,7.96,0.32,,,
34B-4.S,3,4,B,34B,4,S,2.63,4.54,-2.05,dry,,bushy top
34B-E.0,3,4,B,34B,E,0,.,3.29,1.64,,dry + curly,
34B-E.1,3,4,B,34B,E,1,.,3.50,3.25,,,
34B-N.0,3,4,B,34B,N,0,.,2.67,-0.93,loose knot,loose,dry
34B-N.1,3,4,B,34B,N,1,.,3.88,3.23,,,
34B-S.0,3,4,B,34B,S,0,.,0.69,4.23,,curly,
34B-S.1,3,4,B,34B,S,1,.,1.33,3.60,,,
34B-W.0,3,4,B,34B,W,0,.,2.43,0.63,curly,,
34B-W.1,3,4,B,34B,W,1,.,2.40,7.58,,"broke, new",
34C-1.0,3,4,C,34C,1,0,0.90,-0.20,3.73,,curly,dry + curly
34C-1.1,3,4,C,34C,1,1,4.18,.,6.81,,"broken, loose shoot",
34C-1.W,3,4,C,34C,1,W,4.98,2.30,4.20,wet,,
34C-2.0,3,4,C,34C,2,0,0.17,-2.46,1.08,15.64,"loose shoot, outside plot (disturbance)","loose, dry + curly"
34C-2.1,3,4,C,34C,2,1,7.76,25.88,1.57,,"wiry, tip pointing down",bent
34C-2.S,3,4,C,34C,2,S,.,4.87,2.44,,,
