ID,Block,Time,Chamber,Plot,Frag,pos,grow01,grow12,grow23,notes01,notes12,notes23
43C-3.N,4,3,C,43C,3,N,.,1.05,5.54,,curly,
43C-3.c,4,3,C,43C,3,c,.,4.48,3.92,,,
43C-4.0,4,3,C,43C,4,0,.,-1.00,-0.18,,dry + curly,dry + curly
43C-4.1,4,3,C,43C,4,1,.,2.68,6.65,curly,loose shoot,
43C-4.W,4,3,C,43C,4,W,.,-1.73,3.54,bent,curly,curly
44A-1.0,4,4,A,44A,1,0,7.34,4.29,8.83,,,
44A-1.1,4,4,A,44A,1,1,7.94,5.06,7.23,,,
44A-1.E,4,4,A,44A,1,E,2.98,3.29,6.90,,,
44A-2.0,4,4,A,44A,2,0,8.01,12.92,3.60,,broke,broken
44A-2.1,4,4,A,44A,2,1,-1.10,-0.27,-1.52,broke (new length = t1.1),,broken
44A-2.E,4,4,A,44A,2,E,.,4.79,2.45,curly,curly,
44A-2.c,4,4,A,44A,2,c,5.87,4.44,6.31,,,
44A-2.c2,4,4,A,44A,2,c2,.,3.48,2.24,,,
44A-3.0,4,4,A,44A,3,0,17.60,6.47,9.99,,,bent
44A-3.1,4,4,A,44A,3,1,7.95,0.34,7.31,,,
44A-3.W,4,4,A,44A,3,W,.,2.70,3.83,,,
44A-3.c,4,4,A,44A,3,c,1.71,0.74,2.19,,broke,
44A-3.c2,4,4,A,44A,3,c2,.,5.37,4.96,,curly,
44A-4.0,4,4,A,44A,4,0,6.22,5.90,1.28,,,broke
44A-4.1,4,4,A,44A,4,1,7.19,0.10,5.53,,,
44A-4.S,4,4,A,44A,4,S,9.80,3.16,5.21,,,
44A-E.0,4,4,A,44A,E,0,.,3.41,-0.51,,,
44A-E.1,4,4,A,44A,E,1,.,1.45,5.04,,curly,
44A-N.0,4,4,A,44A,N,0,.,1.57,4.60,,,
44A-N.1,4,4,A,44A,N,1,.,2.63,4.11,curly,curly,
44A-S.0,4,4,A,44A,S,0,.,4.30,3.00,,,
44A-S.1,4,4,A,44A,S,1,.,3.81,7.60,,,
44A-W.0,4,4,A,44A,W,0,.,0.57,3.28,,,
44A-W.1,4,4,A,44A,W,1,.,2.29,5.96,,curly,
44B-1.0,4,4,B,44B,1,0,2.52,1.70,0.92,dry,dry,
44B-1.1,4,4,B,44B,1,1,6.13,.,5.50,,"broken, loose - new",
44B-1.E,4,4,B,44B,1,E,4.03,-2.21,-0.37,wet,,
44B-2.0,4,4,B,44B,2,0,0.81,1.65,2.44,dry,,
44B-2.1,4,4,B,44B,2,1,6.65,.,2.74,,Missing - new,
44B-2.W,4,4,B,44B,2,W,.,1.54,1.87,,,
44B-2.c,4,4,B,44B,2,c,7.88,2.36,5.08,wet,,
44B-2.c2,4,4,B,44B,2,c2,.,-1.68,0.71,,"broke, new",
44B-3.0,4,4,B,44B,3,0,4.07,0.37,2.87,wet,curly,
44B-3.1,4,4,B,44B,3,1,7.49,4.65,8.88,,,
44B-3.N,4,4,B,44B,3,N,.,3.08,3.28,,,
44B-3.c,4,4,B,44B,3,c,1.86,5.62,0.41,dry,,
44B-3.c2,4,4,B,44B,3,c2,.,-0.38,0.71,,,
44B-4.0,4,4,B,44B,4,0,-0.28,4.30,5.22,wet; 22.89,,
44B-4.1,4,4,B,44B,4,1,8.03,6.72,0.36,,,
44B-4.S,4,4,B,44B,4,S,2.79,2.67,2.06,wet + dry,broken?,curly
44B-E.0,4,4,B,44B,E,0,.,3.56,7.40,curly,,
44B-E.1,4,4,B,44B,E,1,.,4.03,9.05,,,
44B-N.0,4,4,B,44B,N,0,.,3.51,4.17,,,
44B-N.1,4,4,B,44B,N,1,.,4.26,3.33,,,
44B-S.0,4,4,B,44B,S,0,.,.,3.97,,MISSING - new bent,
44B-S.1,4,4,B,44B,S,1,.,5.74,6.18,curly,bent,curly
44B-W.0,4,4,B,44B,W,0,.,2.80,4.96,,,
44B-W.1,4,4,B,44B,W,1,.,0.84,9.42,,,
44C-1.0,4,4,C,44C,1,0,-0.65,0.38,-0.49,dry,,dry + curly
44C-1.1,4,4,C,44C,1,1,9.58,14.41,4.77,,"bent, loose, sparse & scraggly",long + skinny
44C-1.S,4,4,C,44C,1,S,-0.23,0.19,4.09,dry,curly,curly
44C-2.0,4,4,C,44C,2,0,-1.29,0.84,0.60,,"loose, outside chamber!",dry + curly
44C-2.1,4,4,C,44C,2,1,7.60,5.14,4.73,,,
44C-2.E,4,4,C,44C,2,E,.,4.46,4.67,,,
44C-2.c,4,4,C,44C,2,c,9.20,4.27,4.52,wet,,
44C-2.c2,4,4,C,44C,2,c2,.,-0.52,1.81,,,
44C-3.0,4,4,C,44C,3,0,0.04,0.10,1.08,,,dry + curly
44C-3.1,4,4,C,44C,3,1,4.71,5.45,0.50,,,
44C-3.N,4,4,C,44C,3,N,.,0.88,3.38,,,
44C-3.c,4,4,C,44C,3,c,7.75,3.32,6.04,wet,bent,
44C-3.c2,4,4,C,44C,3,c2,.,-0.49,1.45,,curly,dry + curly
44C-4.0,4,4,C,44C,4,0,0.54,-0.43,-0.25,16.13,curly,dry + curly
44C-4.1,4,4,C,44C,4,1,4.48,6.35,3.62,,2 shoots (20.51),2 tips
44C-4.E,4,4,C,44C,4,E,3.33,3.94,5.36,wet,,
44C-E.0,4,4,C,44C,E,0,.,1.59,5.23,,,
44C-E.1,4,4,C,44C,E,1,.,1.77,3.63,,,
44C-N.0,4,4,C,44C,N,0,.,.,1.61,,broken?,?
44C-N.1,4,4,C,44C,N,1,.,-0.11,4.43,,,
44C-S.0,4,4,C,44C,S,0,.,1.99,3.63,,,
44C-S.1,4,4,C,44C,S,1,.,3.28,2.97,,,
44C-W.0,4,4,C,44C,W,0,.,-0.46,5.14,,,
44C-W.1,4,4,C,44C,W,1,.,3.84,3.45,,,
53A-1.0,5,3,A,53A,1,0,.,3.60,9.92,,,
53A-1.1,5,3,A,53A,1,1,.,2.66,5.43,,,
53A-1.W,5,3,A,53A,1,W,.,4.65,4.50,,,
53A-2.0,5,3,A,53A,2,0,.,3.40,3.93,,,
53A-2.1,5,3,A,53A,2,1,.,-2.32,-0.01,,,
53A-2.E,5,3,A,53A,2,E,.,1.54,3.66,curly,,
53A-2.c,5,3,A,53A,2,c,.,4.34,0.76,,,
53A-3.0,5,3,A,53A,3,0,.,2.58,2.35,,,
53A-3.1,5,3,A,53A,3,1,.,3.44,3.87,,,
53A-3.N,5,3,A,53A,3,N,.,0.91,3.90,,curly,
53A-3.c,5,3,A,53A,3,c,.,1.76,2.49,,,
53A-4.0,5,3,A,53A,4,0,.,3.54,3.11,curly,bent,
53A-4.1,5,3,A,53A,4,1,.,4.45,2.78,,,
53A-4.S,5,3,A,53A,4,S,.,3.40,2.09,,,
53B-1.0,5,3,B,53B,1,0,.,-0.06,1.16,,curly,
53B-1.1,5,3,B,53B,1,1,.,1.05,5.31,,,
53B-1.S,5,3,B,53B,1,S,.,3.96,1.97,,curly,
53B-2.0,5,3,B,53B,2,0,.,3.32,4.32,,,
53B-2.1,5,3,B,53B,2,1,.,1.50,4.03,,,
53B-2.E,5,3,B,53B,2,E,.,3.49,2.60,,,curly
53B-2.c,5,3,B,53B,2,c,.,-0.31,0.06,curly,curly,dry + curly
53B-3.0,5,3,B,53B,3,0,.,0.59,3.39,curled,,
53B-3.1,5,3,B,53B,3,1,.,4.55,4.03,,,
53B-3.W,5,3,B,53B,3,W,.,2.44,3.45,,curly,
53B-3.c,5,3,B,53B,3,c,.,0.33,3.28,curly,,
53B-4.0,5,3,B,53B,4,0,.,2.12,6.19,,bent,
53B-4.1,5,3,B,53B,4,1,.,-0.77,5.50,,,
53B-4.N,5,3,B,53B,4,N,.,3.42,5.20,,,
53C-1.0,5,3,C,53C,1,0,.,0.64,-0.19,,,
53C-1.1,5,3,C,53C,1,1,.,3.10,3.53,,,
53C-1.N,5,3,C,53C,1,N,.,3.42,5.14,,,
53C-2.0,5,3,C,53C,2,0,.,0.15,-0.05,,,dry
53C-2.1,5,3,C,53C,2,1,.,1.19,5.47,,,
53C-2.W,5,3,C,53C,2,W,.,-2.12,2.74,,,dry
53C-2.c,5,3,C,53C,2,c,.,-0.61,2.44,,curly + dry,
53C-3.0,5,3,C,53C,3,0,.,1.36,-1.33,,,dry
53C-3.1,5,3,C,53C,3,1,.,2.46,6.71,,loose,
53C-3.E,5,3,C,53C,3,E,.,-0.48,-1.14,,mushroom!,mushroom!  brown + curly
53C-3.c,5,3,C,53C,3,c,.,3.56,5.82,,,
53C-4.0,5,3,C,53C,4,0,.,-1.69,-1.35,curly,,
53C-4.1,5,3,C,53C,4,1,.,3.41,4.41,,,
53C-4.S,5,3,C,53C,4,S,.,-1.03,2.46,curly,dry + curly,
54A-1.0,5,4,A,54A,1,0,5.34,3.67,6.85,,,
54A-1.1,5,4,A,54A,1,1,6.69,5.07,4.69,,curly,
54A-1.W,5,4,A,54A,1,W,4.27,.,-0.07,,broken,broken
54A-2.0,5,4,A,54A,2,0,6.33,3.70,4.17,,,
54A-2.1,5,4,A,54A,2,1,1.50,6.78,4.14,,,
54A-2.W,5,4,A,54A,2,W,.,2.58,5.15,curly,,
54A-2.c,5,4,A,54A,2,c,7.53,-0.82,4.26,,,
54A-2.c2,5,4,A,54A,2,c2,.,5.43,3.21,,loose,
54A-3.0,5,4,A,54A,3,0,2.76,0.88,3.60,,,
54A-3.1,5,4,A,54A,3,1,1.97,-0.84,4.39,,,broken - new tip
54A-3.E,5,4,A,54A,3,E,.,1.22,3.53,curly,,broke
54A-3.c,5,4,A,54A,3,c,5.40,1.58,5.06,,,
54A-3.c2,5,4,A,54A,3,c2,.,0.00,4.49,loose,,
54A-4.0,5,4,A,54A,4,0,5.08,-2.39,9.04,,curly,
54A-4.1,5,4,A,54A,4,1,6.48,3.84,4.73,,,
54A-4.E,5,4,A,54A,4,E,3.91,2.77,2.63,,,
54A-E.0,5,4,A,54A,E,0,.,0.60,3.64,,,
54A-E.1,5,4,A,54A,E,1,.,-1.73,5.96,,,
54A-N.0,5,4,A,54A,N,0,.,4.11,0.26,curly,,
54A-N.1,5,4,A,54A,N,1,.,6.00,2.18,,,
54A-S.0,5,4,A,54A,S,0,.,-1.09,7.37,,curly,
54A-S.1,5,4,A,54A,S,1,.,1.31,3.49,,,
54A-W.0,5,4,A,54A,W,0,.,5.91,-3.26,,,bushy tip
54A-W.1,5,4,A,54A,W,1,.,3.61,2.57,,,
54B-1.0,5,4,B,54B,1,0,1.19,-0.80,1.26,dry,"dry, curly",dry + curly
54B-1.1,5,4,B,54B,1,1,6.21,3.76,3.93,,,
54B-1.S,5,4,B,54B,1,S,4.52,4.31,0.99,wet,,"2 tips, curly"
54B-2.0,5,4,B,54B,2,0,3.76,4.19,-1.78,,,broke
54B-2.1,5,4,B,54B,2,1,6.60,13.99,1.34,,,
54B-2.W,5,4,B,54B,2,W,.,2.60,1.27,curly,,dry + curly
54B-2.c,5,4,B,54B,2,c,9.71,1.87,4.42,,,
54B-2.c2,5,4,B,54B,2,c2,.,0.75,-0.87,curly,,dark brown (dead?)
54B-3.0,5,4,B,54B,3,0,4.14,-1.54,-2.30,,,
54B-3.1,5,4,B,54B,3,1,6.53,8.81,5.28,,,
54B-3.E,5,4,B,54B,3,E,.,.,1.14,curled,"missing, new",curly
54B-3.c,5,4,B,54B,3,c,7.24,-0.63,4.18,,,
54B-3.c2,5,4,B,54B,3,c2,.,0.18,-0.29,,,dry
54B-4.0,5,4,B,54B,4,0,9.14,4.28,1.75,,,
54B-4.1,5,4,B,54B,4,1,5.12,-0.69,2.63,,,
54B-4.E,5,4,B,54B,4,E,4.64,1.38,1.28,,,
54B-E.0,5,4,B,54B,E,0,.,2.50,4.72,,,
54B-E.1,5,4,B,54B,E,1,.,4.34,2.08,,,
54B-N.0,5,4,B,54B,N,0,.,0.07,1.60,"curly, loose knot",curly,curly
54B-N.1,5,4,B,54B,N,1,.,3.08,3.60,curled,,
54B-S.0,5,4,B,54B,S,0,.,1.02,4.25,curly,,
54B-S.1,5,4,B,54B,S,1,.,2.30,3.95,,,
54B-W.0,5,4,B,54B,W,0,.,1.25,3.56,,,
54B-W.1,5,4,B,54B,W,1,.,2.17,7.86,curly,,
54C-1.0,5,4,C,54C,1,0,6.49,8.11,2.55,wet,,
54C-1.1,5,4,C,54C,1,1,5.91,6.65,2.24,,,
54C-1.W,5,4,C,54C,1,W,4.22,-2.70,3.25,,,messy tips?
54C-2.0,5,4,C,54C,2,0,1.14,-0.94,-0.34,dry,"loose, dry",loose
54C-2.1,5,4,C,54C,2,1,5.04,4.86,6.50,,,
54C-2.W,5,4,C,54C,2,W,.,0.85,2.69,,,curly
54C-2.c,5,4,C,54C,2,c,1.26,-2.11,1.34,dry,,
54C-2.c2,5,4,C,54C,2,c2,.,4.33,2.79,curly,curly,
54C-3.0,5,4,C,54C,3,0,1.19,-1.81,1.61,,"dry, curly",dry + curly
54C-3.1,5,4,C,54C,3,1,0.88,.,5.39,,lost + broken.  New Shoot,
54C-3.N,5,4,C,54C,3,N,.,-0.60,3.66,,,
54C-3.c,5,4,C,54C,3,c,0.76,-1.23,3.07,wet + dry,,curly
54C-3.c2,5,4,C,54C,3,c2,.,3.92,6.42,,,curly
54C-4.0,5,4,C,54C,4,0,-0.39,0.86,-0.07,dry,,
54C-4.1,5,4,C,54C,4,1,7.93,6.97,4.72,,,
54C-4.S,5,4,C,54C,4,S,1.38,3.44,3.46,wet + dry,,
54C-E.0,5,4,C,54C,E,0,.,2.03,0.42,,,
54C-E.1,5,4,C,54C,E,1,.,2.34,2.92,,,
54C-N.0,5,4,C,54C,N,0,.,2.32,4.09,curly,,
54C-N.1,5,4,C,54C,N,1,.,1.21,5.37,,,
54C-S.0,5,4,C,54C,S,0,.,2.84,3.01,,,
54C-S.1,5,4,C,54C,S,1,.,4.83,7.33,curly,,
54C-W.0,5,4,C,54C,W,0,.,2.62,3.06,curly,,
54C-W.1,5,4,C,54C,W,1,.,2.75,3.08,,,
63A-1.0,6,3,A,63A,1,0,.,4.92,0.48,,,
63A-1.1,6,3,A,63A,1,1,.,8.87,8.20,,,curly
63A-1.E,6,3,A,63A,1,E,.,7.20,5.30,,,
63A-2.0,6,3,A,63A,2,0,.,3.54,2.89,,,
63A-2.1,6,3,A,63A,2,1,.,3.18,2.47,,,
63A-2.S,6,3,A,63A,2,S,.,6.37,4.23,curly,,"curly, loose"
63A-2.c,6,3,A,63A,2,c,.,3.73,1.15,bent,,
63A-3.0,6,3,A,63A,3,0,.,6.14,4.16,,,
63A-3.1,6,3,A,63A,3,1,.,6.03,7.36,,,
63A-3.N,6,3,A,63A,3,N,.,5.36,1.53,,,
63A-3.c,6,3,A,63A,3,c,.,8.37,2.09,,loose,curly
63A-4.0,6,3,A,63A,4,0,.,2.90,.,,,broken
63A-4.1,6,3,A,63A,4,1,.,4.69,5.52,,,
63A-4.W,6,3,A,63A,4,W,.,4.99,1.42,curly,,
63B-1.0,6,3,B,63B,1,0,.,5.71,1.96,,,
63B-1.1,6,3,B,63B,1,1,.,5.71,1.91,,,
63B-1.W,6,3,B,63B,1,W,.,1.42,0.39,curly,"dry, curly",curly
63B-2.0,6,3,B,63B,2,0,.,0.41,-1.20,,dry,
63B-2.1,6,3,B,63B,2,1,.,3.99,4.46,,,
63B-2.N,6,3,B,63B,2,N,.,-0.36,4.07,,,
63B-2.c,6,3,B,63B,2,c,.,4.13,-0.25,,,
63B-3.0,6,3,B,63B,3,0,.,3.88,5.80,,loose,loose
63B-3.1,6,3,B,63B,3,1,.,3.75,3.90,,,
63B-3.W,6,3,B,63B,3,W,.,0.44,2.46,curled,"dry, curly",dry + curly
63B-3.c,6,3,B,63B,3,c,.,2.75,2.77,,,
63B-4.0,6,3,B,63B,4,0,.,4.72,2.97,curly,,
63B-4.1,6,3,B,63B,4,1,.,4.93,6.36,,,
63B-4.E,6,3,B,63B,4,E,.,6.39,7.32,,,
63C-1.0,6,3,C,63C,1,0,.,4.13,5.90,,,
63C-1.1,6,3,C,63C,1,1,.,7.73,7.04,,,
63C-1.E,6,3,C,63C,1,E,.,3.22,5.96,,,
63C-2.0,6,3,C,63C,2,0,.,0.83,.,"curly, loose","dry, loose",MIA?
63C-2.1,6,3,C,63C,2,1,.,6.11,2.84,,,
63C-2.N,6,3,C,63C,2,N,.,3.85,-0.74,,,
63C-2.c,6,3,C,63C,2,c,.,2.34,-0.34,,"dry, curly",dry + curly
63C-3.0,6,3,C,63C,3,0,.,0.18,0.81,curled,dry,curly
63C-3.1,6,3,C,63C,3,1,.,3.95,8.89,,loose,"loose, curly"
63C-3.S,6,3,C,63C,3,S,.,2.26,2.25,,,
63C-3.c,6,3,C,63C,3,c,.,0.05,3.74,,,
63C-4.0,6,3,C,63C,4,0,.,-0.31,-1.67,,dry,dry + curly
63C-4.1,6,3,C,63C,4,1,.,7.95,7.35,,,
63C-4.W,6,3,C,63C,4,W,.,0.60,0.01,,,dry
64A-1.0,6,4,A,64A,1,0,7.94,5.69,6.53,,,
64A-1.1,6,4,A,64A,1,1,8.93,7.83,6.46,,,
64A-1.S,6,4,A,64A,1,S,12.72,2.93,5.94,,,
64A-2.0,6,4,A,64A,2,0,9.92,9.27,5.02,,,
64A-2.1,6,4,A,64A,2,1,5.71,5.87,4.49,,,
64A-2.S,6,4,A,64A,2,S,.,4.69,3.63,,,
64A-2.c,6,4,A,64A,2,c,5.84,3.99,2.93,,,
64A-2.c2,6,4,A,64A,2,c2,.,3.59,4.80,,,broke (3.01)
64A-3.0,6,4,A,64A,3,0,2.51,6.45,.,,,broken
64A-3.1,6,4,A,64A,3,1,2.44,6.31,2.41,,,
64A-3.N,6,4,A,64A,3,N,.,4.52,2.57,,,
64A-3.c,6,4,A,64A,3,c,9.39,4.43,3.73,,,
64A-3.c2,6,4,A,64A,3,c2,.,3.37,2.79,,,
64A-4.0,6,4,A,64A,4,0,7.25,27.71,10.13,,"bent, loose","bent, skinny!"
64A-4.1,6,4,A,64A,4,1,9.45,.,-0.74,,broken,
64A-4.W,6,4,A,64A,4,W,4.30,7.11,3.67,,,
64A-E.0,6,4,A,64A,E,0,.,4.07,1.99,curly,,
64A-E.1,6,4,A,64A,E,1,.,2.71,4.90,,,
64A-N.0,6,4,A,64A,N,0,.,5.01,1.18,,,
64A-N.1,6,4,A,64A,N,1,.,4.08,3.25,,,
64A-S.0,6,4,A,64A,S,0,.,4.65,7.64,,,
64A-S.1,6,4,A,64A,S,1,.,2.92,6.61,curly,,
64A-W.0,6,4,A,64A,W,0,.,0.91,1.18,,,
64A-W.1,6,4,A,64A,W,1,.,4.93,3.61,,,
64B-1.0,6,4,B,64B,1,0,2.16,.,-0.15,dry,broken,"dry, broken"
64B-1.1,6,4,B,64B,1,1,6.69,15.53,12.03,,loose,"curly, loose"
64B-1.S,6,4,B,64B,1,S,8.40,6.39,4.94,wet,,
64B-2.0,6,4,B,64B,2,0,-0.13,2.07,-0.47,16.81,"dry, curly","cry, curly"
64B-2.1,6,4,B,64B,2,1,5.30,9.02,1.44,,,
64B-2.E,6,4,B,64B,2,E,.,4.97,3.71,curly,,
64B-2.c,6,4,B,64B,2,c,0.92,-0.37,1.95,,"dry, curly",dry + curly
64B-2.c2,6,4,B,64B,2,c2,.,4.61,2.93,,,
64B-3.0,6,4,B,64B,3,0,3.55,5.72,-0.28,wet,,dry + curly
64B-3.1,6,4,B,64B,3,1,6.15,1.70,3.19,,loose,"loose, bent"
64B-3.W,6,4,B,64B,3,W,.,1.38,-1.38,,dry,
64B-3.c,6,4,B,64B,3,c,3.71,1.48,1.00,dry,curly,dry
64B-3.c2,6,4,B,64B,3,c2,.,4.92,3.27,,,bent
64B-4.0,6,4,B,64B,4,0,3.45,5.71,3.39,wet,,
64B-4.1,6,4,B,64B,4,1,4.22,0.35,3.67,,,curly
64B-4.N,6,4,B,64B,4,N,-1.11,-0.04,-0.17,dry; 22.12,,dry
64B-E.0,6,4,B,64B,E,0,.,3.87,3.15,,,
64B-E.1,6,4,B,64B,E,1,.,5.93,2.81,curly,,
64B-N.0,6,4,B,64B,N,0,.,0.27,1.02,curly,,
64B-N.1,6,4,B,64B,N,1,.,6.38,2.33,curly,,
64B-S.0,6,4,B,64B,S,0,.,2.21,3.19,curly,,
64B-S.1,6,4,B,64B,S,1,.,3.85,4.57,,,
64B-W.0,6,4,B,64B,W,0,.,-3.33,5.92,curly,,
64B-W.1,6,4,B,64B,W,1,.,4.54,2.89,,,
64C-1.0,6,4,C,64C,1,0,-1.95,1.00,0.25,?,curly,dry!
64C-1.1,6,4,C,64C,1,1,9.75,4.16,6.11,,,twin shoots
64C-1.S,6,4,C,64C,1,S,7.00,6.63,4.60,wet,,
64C-2.0,6,4,C,64C,2,0,1.03,-0.80,-0.35,,water-logged!,"dry, broke"
64C-2.1,6,4,C,64C,2,1,9.30,10.28,1.53,,,curly
64C-2.N,6,4,C,64C,2,N,.,3.76,3.46,,,
64C-2.c,6,4,C,64C,2,c,7.57,4.10,2.29,wet,,white
64C-2.c2,6,4,C,64C,2,c2,.,-0.36,0.76,,,black
64C-3.0,6,4,C,64C,3,0,-1.70,.,-0.44,dry; curled?,"broken, loose, water-logged","dry, loose + broken"
64C-3.1,6,4,C,64C,3,1,8.90,9.23,3.36,,water-logged,
64C-3.W,6,4,C,64C,3,W,.,2.57,6.38,,water-logged,curly
64C-3.c,6,4,C,64C,3,c,1.14,-1.07,0.98,wet; 2 shoots? (2 stems),water-logged,multiple tips
64C-3.c2,6,4,C,64C,3,c2,.,0.82,4.17,curly,"loose, water-logged",loose
64C-4.0,6,4,C,64C,4,0,-0.50,-0.70,0.43,?,water-logged,dry + curly
64C-4.1,6,4,C,64C,4,1,4.71,5.22,2.37,,water-logged,mostly rotten?
64C-4.S,6,4,C,64C,4,S,4.77,1.52,0.77,wet + dry,water-logged,
64C-E.0,6,4,C,64C,E,0,.,-0.94,0.60,,,dry
64C-E.1,6,4,C,64C,E,1,.,5.21,4.31,curly,,
64C-N.0,6,4,C,64C,N,0,.,7.67,5.58,curly,water-logged,
64C-N.1,6,4,C,64C,N,1,.,2.79,2.29,,water-logged,
64C-S.0,6,4,C,64C,S,0,.,4.47,-0.20,,water-logged,
64C-S.1,6,4,C,64C,S,1,.,4.42,2.86,curly,water-logged,
64C-W.0,6,4,C,64C,W,0,.,1.90,2.18,,water-logged,
64C-W.1,6,4,C,64C,W,1,.,4.74,4.43,curly,water-logged,
73A-1.0,7,3,A,73A,1,0,.,3.87,7.80,,curly,
73A-1.1,7,3,A,73A,1,1,.,3.52,6.18,,loose knot,
73A-1.E,7,3,A,73A,1,E,.,5.93,2.33,,,
73A-2.0,7,3,A,73A,2,0,.,4.51,4.29,,,
73A-2.1,7,3,A,73A,2,1,.,3.57,5.01,,curly,curly
73A-2.S,7,3,A,73A,2,S,.,3.15,-0.63,,,
73A-2.c,7,3,A,73A,2,c,.,3.53,-0.82,,curly,broken?
73A-3.0,7,3,A,73A,3,0,.,2.36,4.70,curled,,
73A-3.1,7,3,A,73A,3,1,.,8.16,4.57,curled,curly,
73A-3.W,7,3,A,73A,3,W,.,-0.73,2.52,,curly,
73A-3.c,7,3,A,73A,3,c,.,1.72,3.99,,curly,curly
73A-4.0,7,3,A,73A,4,0,.,-0.24,6.07,,curly,
73A-4.1,7,3,A,73A,4,1,.,4.76,6.52,,,
73A-4.N,7,3,A,73A,4,N,.,4.91,4.72,,curly,
73B-1.0,7,3,B,73B,1,0,.,0.59,0.78,,,dry
73B-1.1,7,3,B,73B,1,1,.,2.23,3.14,,,
73B-1.E,7,3,B,73B,1,E,.,0.23,2.66,,,
73B-2.0,7,3,B,73B,2,0,.,-0.15,2.13,,loose shoot (brittle),"loose, dry + curly"
73B-2.1,7,3,B,73B,2,1,.,3.10,3.55,,,
73B-2.E,7,3,B,73B,2,E,.,0.56,0.08,,curly,
73B-2.c,7,3,B,73B,2,c,.,3.40,0.19,,,
73B-3.0,7,3,B,73B,3,0,.,0.83,2.44,,,
73B-3.1,7,3,B,73B,3,1,.,4.83,1.73,,,
73B-3.S,7,3,B,73B,3,S,.,1.69,1.17,,,
73B-3.c,7,3,B,73B,3,c,.,0.56,4.29,curled,,
73B-4.0,7,3,B,73B,4,0,.,-5.47,0.49,,,
73B-4.1,7,3,B,73B,4,1,.,4.74,5.47,curly,,
73B-4.W,7,3,B,73B,4,W,.,-0.12,3.83,curly,,
73C-1.0,7,3,C,73C,1,0,.,-0.44,1.11,curled,bone dry,dry + curly
73C-1.1,7,3,C,73C,1,1,.,6.95,3.72,,"bent, wiry, long","new tip, curly"
73C-1.S,7,3,C,73C,1,S,.,4.81,6.02,,,
73C-2.0,7,3,C,73C,2,0,.,-0.36,0.94,,"broke, curly",dry + curly
73C-2.1,7,3,C,73C,2,1,.,4.04,5.35,,,
73C-2.S,7,3,C,73C,2,S,.,4.45,0.77,,,curly
73C-2.c,7,3,C,73C,2,c,.,6.02,7.11,,black thread sux,
73C-3.0,7,3,C,73C,3,0,.,-0.49,0.77,,curly,
73C-3.1,7,3,C,73C,3,1,.,0.73,2.10,,,
73C-3.E,7,3,C,73C,3,E,.,-1.28,1.45,,,
73C-3.c,7,3,C,73C,3,c,.,1.39,2.57,,,
73C-4.0,7,3,C,73C,4,0,.,-0.99,-0.37,,,dry
73C-4.1,7,3,C,73C,4,1,.,1.04,4.50,,,
73C-4.N,7,3,C,73C,4,N,.,4.16,1.74,,,
74A-1.0,7,4,A,74A,1,0,7.57,.,8.51,,11.39 - error?,
74A-1.1,7,4,A,74A,1,1,7.48,5.95,5.12,,,
74A-1.S,7,4,A,74A,1,S,9.61,5.52,4.68,,,
74A-2.0,7,4,A,74A,2,0,4.88,2.13,7.05,,,
74A-2.1,7,4,A,74A,2,1,8.79,7.60,11.08,,,
74A-2.N,7,4,A,74A,2,N,.,4.42,5.94,,,
74A-2.c,7,4,A,74A,2,c,3.59,5.14,5.91,,,
74A-2.c2,7,4,A,74A,2,c2,.,1.94,6.33,,curly,
74A-3.0,7,4,A,74A,3,0,2.25,4.29,2.46,,,
74A-3.1,7,4,A,74A,3,1,7.51,.,4.06,,broken,
74A-3.S,7,4,A,74A,3,S,.,5.69,7.85,,,
74A-3.c,7,4,A,74A,3,c,5.53,1.47,4.79,,,
74A-3.c2,7,4,A,74A,3,c2,.,2.23,2.88,,,
74A-4.0,7,4,A,74A,4,0,5.59,5.75,9.10,,curly,
74A-4.1,7,4,A,74A,4,1,8.39,1.00,2.36,,,
74A-4.N,7,4,A,74A,4,N,7.05,7.38,4.76,,,
74A-E.0,7,4,A,74A,E,0,.,2.81,4.91,curly,curly,
74A-E.1,7,4,A,74A,E,1,.,2.78,2.21,,,loose knot
74A-N.0,7,4,A,74A,N,0,.,-0.02,6.52,,curly,
74A-N.1,7,4,A,74A,N,1,.,2.78,5.36,,,
74A-S.0,7,4,A,74A,S,0,.,3.65,2.67,,,
74A-S.1,7,4,A,74A,S,1,.,1.31,6.16,,curly,
74A-W.0,7,4,A,74A,W,0,.,.,0.91,,broken?,broken
74A-W.1,7,4,A,74A,W,1,.,2.65,4.82,,,
74B-1.0,7,4,B,74B,1,0,1.35,3.11,2.29,,,
74B-1.1,7,4,B,74B,1,1,3.88,1.76,0.31,,curly,
74B-1.W,7,4,B,74B,1,W,4.81,1.59,5.43,,,
74B-2.0,7,4,B,74B,2,0,1.96,2.69,-1.35,,,dry + curly
74B-2.1,7,4,B,74B,2,1,2.70,2.72,2.87,,,
74B-2.W,7,4,B,74B,2,W,.,2.82,3.21,,,
74B-2.c,7,4,B,74B,2,c,3.03,1.56,2.30,,,
74B-2.c2,7,4,B,74B,2,c2,.,-0.94,5.50,,,curly
74B-3.0,7,4,B,74B,3,0,-2.99,-0.87,0.58,broke (new length = t1.1),broken,"loose, broken? Bushy"
