Treatment,Block,t-point,Warming,Frag,pos,tin,Total WET,Total DRY,wwt,dwt,%H2O,Moisture Contents,Notes
24B-1.S,2,4,B,1,S,164.99,269.64,187.40,104.65,22.41,366.98
24B-1.W,2,4,B,1,W,165.81,241.67,181.70,75.86,15.89,377.41
24B-2.0,2,4,B,2,0,166.42,229.46,181.86,63.04,15.44,308.29
24B-2.1,2,4,B,2,1,166.55,238.07,180.86,71.52,14.31,399.79
24B-2.S,2,4,B,2,S,166.61,220.27,180.14,53.66,13.53,296.60
24B-2.E,2,4,B,2,E,166.25,217.46,176.61,51.21,10.36,394.31
24B-3.0,2,4,B,3,0,165.89,246.26,180.46,80.37,14.57,451.61
24B-3.1,2,4,B,3,1,164.35,236.82,180.75,72.47,16.40,341.89
24B-3.N,2,4,B,3,N,166.48,225.94,179.83,59.46,13.35,345.39
24B-3.W,2,4,B,3,W,164.57,223.87,178.43,59.30,13.86,327.85
24B-4.0,2,4,B,4,0,168.96,233.66,182.20,64.70,13.24,388.67
24B-4.1,2,4,B,4,1,166.33,258.39,183.31,92.06,16.98,442.17
24B-4.N,2,4,B,4,N,166.95,222.31,178.06,55.36,11.11,398.29
24B-4.E,2,4,B,4,E,165.54,241.08,178.71,75.54,13.17,473.58
24C-1.0,2,4,C,1,0,166.04,263.32,181.23,97.28,15.19,540.42
24C-1.1,2,4,C,1,1,165.80,243.07,178.80,77.27,13.00,494.38
24C-1.S,2,4,C,1,S,166.60,248.79,180.57,82.19,13.97,488.33
24C-1.W,2,4,C,1,W,167.85,309.55,188.00,141.70,20.15,603.23
24C-2.0,2,4,C,2,0,166.46,184.64,181.18,18.18,14.72,23.51
24C-2.1,2,4,C,2,1,165.25,231.80,177.96,66.55,12.71,423.60
24C-2.N,2,4,C,2,N,164.59,212.63,177.44,48.04,12.85,273.85
24C-2.E,2,4,C,2,E,166.30,179.32,176.70,13.02,10.40,25.19
24C-3.0,2,4,C,3,0,164.64,216.27,177.43,51.63,12.79,303.67
24C-3.1,2,4,C,3,1,166.84,242.43,180.56,75.59,13.72,450.95
24C-3.N,2,4,C,3,N,166.58,199.43,176.64,32.85,10.06,226.54
24C-3.W,2,4,C,3,W,167.69,244.81,182.25,77.12,14.56,429.67
24C-4.0,2,4,C,4,0,165.88,185.40,182.65,19.52,16.77,16.40
24C-4.1,2,4,C,4,1,168.19,276.76,184.07,108.57,15.88,583.69
24C-4.S,2,4,C,4,S,164.75,213.32,178.79,48.57,14.04,245.94
24C-4.E,2,4,C,4,E,167.54,184.21,178.25,16.67,10.71,55.65
34A-1.0,3,4,A,1,0,164.56,347.81,190.74,183.25,26.18,599.96
