Taxonomic Group,Major Taxa,ZL-JAW-notes,ZL sp ID,JAW sp ID,JAW Species Description,JAW Species Notes,sp_alias
Collembola,Poduromorpha,no equivalent in JAW's data?,Podurid sp. 2 - large,,,,Hypogastruridae sp.2
Collembola,Poduromorpha,,Podurid sp. 3 - small,,,,Hypogastruridae sp.1
Collembola,Poduromorpha,,"Onchyurus - sm, white, no furc",Onychiuridae sp.1,sm white 0eyes (elongate),,Onychiuridae sp.
Collembola,Poduromorpha,,"Onchyurus - sm, white, no furc",Onychiuridae sp.1a,"short & round (flat) ""shovel head""?",,Onychiuridae sp.
Collembola,Entomobryomorpha,,Tomocerid sp. (lg yellow),Tomoceridae sp.,"lg yellow, long antannae",,Tomoceridae sp.
Collembola,Entomobryomorpha,2+2 ocelli; counts don't match up as expected (JAW counts are closer to ZL's Isotomidae sp.4??),Folsomia penicula (sm white),Isotomidae sp.1,"short furc, 2eyes, stippled grey",,Folsomia penicula
Collembola,Entomobryomorpha,,Folsomia penicula (sm white),Isotomidae sp.1a (imm),shorter - immature?,,Folsomia penicula
Collembola,Entomobryomorpha,,-,Isotomidae sp.2,flat & dark,= Isotomidae 1,Folsomia penicula
Collembola,Entomobryomorpha,immature of something?,,Isotomidae sp.3,sm no furc. 1eye (big head)?,,Isotomidae sp.3
Collembola,Entomobryomorpha,no equivalent in Zo‘'s data,-,Isotomidae sp.3a,"md purple 1eye, sm furc.","plump, long eye spots; PAO elongate & pinched in centre.  Posterior (anal) spines",Isotomidae sp.3
Collembola,Entomobryomorpha,"""Termite head"" (aka ""penis-head"")",Metisotoma grandiceps,Isotomidae sp.3b,"md purple 1eye, sm furc.","no posterior spines, elongate head.  PAO?",Metisotoma grandiceps
Collembola,Entomobryomorpha,counts best match JAW's Isotomidae 3c ??,Podurid sp. 1 - med,Isotomidae sp.3c,"md purple 1eye, sm furc.","no posterior spines, plump body & head (almost pedomorphic in appearance)",Isotomidae sp.5
Collembola,Entomobryomorpha,sm purple?  Maybe?,"Isotomid sp.4- (sm, purple no furc)",,,,Isotomidae sp.4
Collembola,Entomobryomorpha,,Isotoma sp. 6 notabilis (med purple),Isotomidae sp.4a,lg grey/purple long furc. 1eyes,,Isotoma notabilis
Collembola,Entomobryomorpha,immature (of notabilis),Isotoma sp. 6 notabilis (med purple),Isotomidae sp.4b,sm trans/grey long furc. 4eye,,Isotoma notabilis
Collembola,Entomobryomorpha,immature (of notabilis),Isotoma sp. 6 notabilis (med purple),Isotomidae sp.4c,sm white/trans. long furc. 0eyes,,Isotoma notabilis
Collembola,Entomobryomorpha,immature (of notabilis),Isotoma sp. 6 notabilis (med purple),Isotomidae sp.5,*md white long furc 1-4eye? Wide posterior," formerly Isotomidae 4, Entomobryidae 1a",Isotoma notabilis
Collembola,Entomobryomorpha,immature (of notabilis),Isotoma sp. 6 notabilis (med purple),Isotomidae sp.5a,"*md white, long furc, 0eyes",formerly Entomobryidae 2,Isotoma notabilis
Collembola,Entomobryomorpha,,-,Isotomidae sp.6,"short purple, long furc. Hunched","short body, long furcula.  Dessicated sp.1 or 4a/4b?  ==> Isotomidae sp.4b",Isotoma notabilis
Collembola,Entomobryomorpha,,-,Entomobryidae sp.1,*long furc 1eyes ,= Isotomidae 4a,Isotoma notabilis
Collembola,Entomobryomorpha,,-,Entomobryidae sp.1a,*sm white long furc 1eye ,= Isotomidae 5,Isotoma notabilis
Collembola,Entomobryomorpha,,Entomobryid sp. 2 (lg purple),Entomobryidae sp.3,lg shiney purple long furc. 2eye,,Entomobryidae sp.1
Collembola,Entomobryomorpha,no equivalent in Zo‘'s data,-,Entomobryidae sp.4,"lg yellow, long furc, blue ant.","hypertrichous (hairy); ""mask"" with dark spots across front of head; blue antannae & blue highlights on margins of segments, ant4>=ant3.  == Entomobryidae 3?",Entomobryidae sp.2
Collembola,Entomobryomorpha,no equivalent in JAW's data,"Entomobryid sp. 3 (med white, long furc)",-,,,Entomobryidae sp.3
Collembola,Symphypleona,,neelidae,Neelidae spp.,ant < head,,Neelidae spp.
Collembola,Symphypleona,based on relative abundances in our respective data sets,Symphyplyonid sp. 2,Sminthuridae sp.1,globular purple spotted,,Sminthuridae sp.1
Collembola,Symphypleona,based on relative abundances in our respective data sets,Symphyplyonid sp. 2,Sminthuridae sp.1a,glob purp + clear outer membrane,,Sminthuridae sp.1
Collembola,Symphypleona,based on relative abundances in our respective data sets,Symphyplyonid sp. 2,Sminthuridae sp.2,*longer dk purple (l³h?),,Sminthuridae sp.1
Collembola,Symphypleona,based on relative abundances in our respective data sets,Symphyplyonid sp. 1,Sminthuridae sp.3,md cream-colour body l³h,,Sminthuridae sp.2
Collembola,Symphypleona,based on relative abundances in our respective data sets,Symphyplyonid sp. 1,Sminthuridae sp.3a,"md white, clear",,Sminthuridae sp.2
Collembola,Symphypleona,based on relative abundances in our respective data sets,Symphyplyonid sp. 1,Sminthuridae sp.4,sm white (longer legs?),,Sminthuridae sp.2
Collembola,Symphypleona,based on relative abundances in our respective data sets,Symphyplyonid sp. 1,Sminthuridae sp.4a,sm clear (purple tinge),,Sminthuridae sp.2
Collembola,Symphypleona,based on relative abundances in our respective data sets,Symphyplyonid sp. 3,Sminthuridae sp.5,bright red-orange & lumpy - clear splayed spindly legs,some less brightly coloured: confusion with 5a?,Sminthuridae sp.3
Collembola,Symphypleona,can probably lump with 5,Symphyplyonid sp. 3,Sminthuridae sp.5a,"red (maroon), globular, faint eyes",,Sminthuridae sp.3
Other,Arthropoda,,spider small,sm spider,legs splayed,same size or smaller than typical mite.  usually abdomen > thorax?,spider
Other,Arthropoda,,spider medium,md spider,legs curled,same size or a little bigger than a typical mite.  usually abdomen < thorax?,spider
Other,Arthropoda,,spider large,lg spider,"legs curled, brown","MUCH bigger than typical mite, occupies most of field of view - identifiable by the naked eye.  (about same size as diptera).",spider
Other,Arthropoda,,Diptera adult,Diptera spp.,insects with wings,considered transient / extrinsic / not of interest,Diptera spp.
Other,Arthropoda,,Diptera adult,mosquito,,,Diptera spp.
Other,Arthropoda,,Diptera larva,insect (Diptera?) larva,tube with tapered ends,may include Coleoptera larvae in block 1,insect larva
Other,Arthropoda,,Coleoptera larva,Coleoptera (beetle) larva,"lg ant. Legs, long accordion body",,Coleoptera larva
Other,Arthropoda,,Staphylinidae,beetle,,,Coleoptera spp.
Other,Arthropoda,,Phytophagous aphid,aphid,"red eyes, long proboscis",unsclerotized; yellow-cream transluscent,aphid
Other,Arthropoda,no equivalent in Zo‘'s data,-,cricket,,,cricket
Other,Arthropoda,,book lice,-,,,book lice
Other,Arthropoda,,moth,-,,,moth
