Treatment,Block,t-point,Warming,Frag,pos,tin,tin+moss_wwt,tin+moss_dwt,wwt,dwt,%H2O,Moisture Contents,Notes
22A-4-O,2,2,A,4,O,166.41,324.62,180.47,158.21,14.06,1025.25,91.113
22A-4-S,2,2,A,4,S,165.86,285.73,179.79,119.87,13.93,760.52,88.379
22A-4-W,2,2,A,4,W,164.30,372.08,189.34,207.78,25.04,729.79,87.949
22B-1-W,2,2,B,1,W,168.85,245.34,183.75,76.49,14.9,413.36,80.520
22B-1-I,2,2,B,1,I,166.88,313.34,184.99,146.46,18.11,708.72,87.635
22B-1-O,2,2,B,1,O,165.71,301.07,186.96,135.36,21.25,536.99,84.301
22B-1-N,2,2,B,1,N,165.43,340.24,185.88,174.81,20.45,754.82,88.302
22B-2-E,2,2,B,2,E,166.04,258.86,177.32,92.82,11.28,722.87,87.847
22B-2-I,2,2,B,2,I,166.36,250.20,179.96,83.84,13.6,516.47,83.779
22B-2-N,2,2,B,2,N,166.58,280.05,176.78,113.47,10.2,1012.45,91.011
22B-2-O,2,2,B,2,O,168.21,262.61,179.04,94.4,10.83,771.65,88.528
22B-3-I,2,2,B,3,I,166.37,291.12,178.82,124.75,12.45,902.01,90.020
22B-3-O,2,2,B,3,O,164.69,343.93,177.97,179.24,13.28,1249.70,92.591
22B-3-S,2,2,B,3,S,166.50,335.07,180.91,168.57,14.41,1069.81,91.452
22B-3-E,2,2,B,3,E,166.48,345.08,179.55,178.6,13.07,1266.49,92.682
22B-4-I,2,2,B,4,I,167.33,326.25,182.97,158.92,15.64,916.11,90.159
22B-4-S,2,2,B,4,S,166.61,299.05,180.77,132.44,14.16,835.31,89.308
22B-4-O,2,2,B,4,O,166.87,347.00,180.80,180.13,13.93,1193.11,92.267
22B-4-W,2,2,B,4,W,164.60,206.46,176.45,41.86,11.85,253.25,71.691,
22C-1-W,2,2,C,1,W,166.76,370.68,183.18,203.92,16.42,1141.90,91.948,Entered as 22C-1E
22C-1-I,2,2,C,1,I,166.06,343.44,181.86,177.38,15.8,1022.66,91.093,
22C-1-N,2,2,C,1,N,167.93,298.15,184.31,130.22,16.38,694.99,87.421,
22C-1-O,2,2,C,1,O,164.34,250.94,177.25,86.6,12.91,570.80,85.092,
22C-2-I,2,2,C,2,I,165.81,237.00,177.08,71.19,11.27,531.68,84.169,
22C-2-O,2,2,C,2,O,164.67,318.11,176.17,153.44,11.5,1234.26,92.505,
22C-2-S,2,2,C,2,S,167.02,300.11,178.94,133.09,11.92,1016.53,91.044,
22C-2-W,2,2,C,2,W,164.85,279.43,176.35,114.58,11.5,896.35,89.963,
22C-3-I,2,2,C,3,I,166.60,237.60,175.83,71,9.23,669.23,87.000,
22C-3-N,2,2,C,3,N,164.76,197.35,178.65,32.59,13.89,134.63,57.380,
22C-3-O,2,2,C,3,O,165.16,187.74,175.41,22.58,10.25,120.29,54.606,
