"SampleID","Block","Time","Chamber","Frag","Pos","xE","yN"
"72B-1.E","7","2","B","1","E","642122.731","6074205.311"
"72B-2.O","7","2","B","2","O","642122.800","6074204.792"
"72B-2.I","7","2","B","2","I","642122.575","6074205.017"
"72B-2.S","7","2","B","2","S","642122.575","6074204.792"
"72B-2.E","7","2","B","2","E","642122.800","6074205.017"
"72B-3.O","7","2","B","3","O","642122.125","6074204.792"
"72B-3.I","7","2","B","3","I","642122.350","6074205.017"
"72B-3.S","7","2","B","3","S","642122.350","6074204.792"
"72B-3.W","7","2","B","3","W","642122.125","6074205.017"
"72B-4.O","7","2","B","4","O","642122.125","6074205.467"
"72B-4.I","7","2","B","4","I","642122.350","6074205.242"
"72B-4.N","7","2","B","4","N","642122.350","6074205.467"
"72B-4.W","7","2","B","4","W","642122.125","6074205.242"
"72C-1.O","7","2","C","1","O","642120.512","6074205.235"
"72C-1.I","7","2","C","1","I","642120.600","6074205.146"
"72C-1.N","7","2","C","1","N","642120.600","6074205.235"
"72C-1.W","7","2","C","1","W","642120.512","6074205.146"
"72C-2.O","7","2","C","2","O","642121.119","6074205.303"
"72C-2.I","7","2","C","2","I","642120.894","6074205.078"
"72C-2.N","7","2","C","2","N","642120.894","6074205.303"
"72C-2.E","7","2","C","2","E","642121.119","6074205.078"
"72C-3.O","7","2","C","3","O","642120.444","6074204.628"
"72C-3.I","7","2","C","3","I","642120.669","6074204.853"
"72C-3.S","7","2","C","3","S","642120.669","6074204.628"
"72C-3.W","7","2","C","3","W","642120.444","6074204.853"
"72C-4.O","7","2","C","4","O","642121.119","6074204.628"
"72C-4.I","7","2","C","4","I","642120.894","6074204.853"
"72C-4.S","7","2","C","4","S","642120.894","6074204.628"
"72C-4.E","7","2","C","4","E","642121.119","6074204.853"
"82A-1.O","8","2","A","1","O","642117.978","6074300.946"
"82A-1.I","8","2","A","1","I","642117.890","6074300.858"
"82A-1.N","8","2","A","1","N","642117.890","6074300.946"
"82A-1.E","8","2","A","1","E","642117.978","6074300.858"
"82A-2.O","8","2","A","2","O","642118.047","6074300.340"
"82A-2.I","8","2","A","2","I","642117.822","6074300.565"
"82A-2.S","8","2","A","2","S","642117.822","6074300.340"
"82A-2.E","8","2","A","2","E","642118.047","6074300.565"
"82A-3.O","8","2","A","3","O","642117.372","6074301.015"
"82A-3.I","8","2","A","3","I","642117.597","6074300.790"
"82A-3.N","8","2","A","3","N","642117.597","6074301.015"
"82A-3.W","8","2","A","3","W","642117.372","6074300.790"
"82A-4.O","8","2","A","4","O","642117.372","6074300.340"
"82A-4.I","8","2","A","4","I","642117.597","6074300.565"
"82A-4.S","8","2","A","4","S","642117.597","6074300.340"
"82A-4.W","8","2","A","4","W","642117.372","6074300.565"
"82B-1.O","8","2","B","1","O","642118.125","6074298.758"
"82B-1.I","8","2","B","1","I","642118.036","6074298.846"
"82B-1.S","8","2","B","1","S","642118.036","6074298.758"
"82B-1.E","8","2","B","1","E","642118.125","6074298.846"
"82B-2.O","8","2","B","2","O","642117.518","6074299.364"
"82B-2.I","8","2","B","2","I","642117.743","6074299.139"
"82B-2.N","8","2","B","2","N","642117.743","6074299.364"
"82B-2.W","8","2","B","2","W","642117.518","6074299.139"
"82B-3.O","8","2","B","3","O","642117.518","6074298.689"
"82B-3.I","8","2","B","3","I","642117.743","6074298.914"
"82B-3.S","8","2","B","3","S","642117.743","6074298.689"
"82B-3.W","8","2","B","3","W","642117.518","6074298.914"
"82B-4.O","8","2","B","4","O","642118.193","6074299.364"
"82B-4.I","8","2","B","4","I","642117.968","6074299.139"
"82B-4.N","8","2","B","4","N","642117.968","6074299.364"
"82B-4.E","8","2","B","4","E","642118.193","6074299.139"
"82C-1.O","8","2","C","1","O","642122.530","6074303.158"
"82C-1.I","8","2","C","1","I","642122.442","6074303.069"
"82C-1.N","8","2","C","1","N","642122.442","6074303.158"
"82C-1.E","8","2","C","1","E","642122.530","6074303.069"
"82C-2.O","8","2","C","2","O","642121.923","6074302.551"
"82C-2.I","8","2","C","2","I","642122.148","6074302.776"
"82C-2.S","8","2","C","2","S","642122.148","6074302.551"
"82C-2.W","8","2","C","2","W","642121.923","6074302.776"
"82C-3.O","8","2","C","3","O","642121.923","6074303.226"
"82C-3.I","8","2","C","3","I","642122.148","6074303.001"
"82C-3.N","8","2","C","3","N","642122.148","6074303.226"
"82C-3.W","8","2","C","3","W","642121.923","6074303.001"
"82C-4.O","8","2","C","4","O","642122.598","6074302.551"
"82C-4.I","8","2","C","4","I","642122.373","6074302.776"
"82C-4.S","8","2","C","4","S","642122.373","6074302.551"
"82C-4.E","8","2","C","4","E","642122.598","6074302.776"
"13A-1.O","1","3","A","1","O","642177.925","6074263.661"
"13A-1.I","1","3","A","1","I","642177.837","6074263.572"
"13A-1.N","1","3","A","1","N","642177.837","6074263.661"
"13A-1.E","1","3","A","1","E","642177.925","6074263.572"
"13A-2.O","1","3","A","2","O","642177.318","6074263.729"
"13A-2.I","1","3","A","2","I","642177.543","6074263.504"
"13A-2.N","1","3","A","2","N","642177.543","6074263.729"
"13A-2.W","1","3","A","2","W","642177.318","6074263.504"
"13A-3.O","1","3","A","3","O","642177.318","6074263.054"
"13A-3.I","1","3","A","3","I","642177.543","6074263.279"
"13A-3.S","1","3","A","3","S","642177.543","6074263.054"
"13A-3.W","1","3","A","3","W","642177.318","6074263.279"
"13A-4.O","1","3","A","4","O","642177.993","6074263.054"
"13A-4.I","1","3","A","4","I","642177.768","6074263.279"
"13A-4.S","1","3","A","4","S","642177.768","6074263.054"
"13A-4.E","1","3","A","4","E","642177.993","6074263.279"
"13B-1.O","1","3","B","1","O","642177.599","6074264.759"
"13B-1.I","1","3","B","1","I","642177.511","6074264.847"
"13B-1.S","1","3","B","1","S","642177.511","6074264.759"
"13B-1.E","1","3","B","1","E","642177.599","6074264.847"
"13B-2.O","1","3","B","2","O","642177.668","6074265.366"
"13B-2.I","1","3","B","2","I","642177.443","6074265.141"
"13B-2.N","1","3","B","2","N","642177.443","6074265.366"
"13B-2.E","1","3","B","2","E","642177.668","6074265.141"
"13B-3.O","1","3","B","3","O","642176.993","6074265.366"
"13B-3.I","1","3","B","3","I","642177.218","6074265.141"
"13B-3.N","1","3","B","3","N","642177.218","6074265.366"
"13B-3.W","1","3","B","3","W","642176.993","6074265.141"
"13B-4.O","1","3","B","4","O","642176.993","6074264.691"
"13B-4.I","1","3","B","4","I","642177.218","6074264.916"
"13B-4.S","1","3","B","4","S","642177.218","6074264.691"
"13B-4.W","1","3","B","4","W","642176.993","6074264.916"
"13C-1.O","1","3","C","1","O","642178.633","6074265.505"
"13C-1.I","1","3","C","1","I","642178.722","6074265.417"
"13C-1.N","1","3","C","1","N","642178.722","6074265.505"
"13C-1.W","1","3","C","1","W","642178.633","6074265.417"
"13C-2.O","1","3","C","2","O","642179.240","6074265.573"
"13C-2.I","1","3","C","2","I","642179.015","6074265.348"
"13C-2.N","1","3","C","2","N","642179.015","6074265.573"
"13C-2.E","1","3","C","2","E","642179.240","6074265.348"
"13C-3.O","1","3","C","3","O","642178.565","6074264.898"
"13C-3.I","1","3","C","3","I","642178.790","6074265.123"
"13C-3.S","1","3","C","3","S","642178.790","6074264.898"
"13C-3.W","1","3","C","3","W","642178.565","6074265.123"
"13C-4.O","1","3","C","4","O","642179.240","6074264.898"
"13C-4.I","1","3","C","4","I","642179.015","6074265.123"
"13C-4.S","1","3","C","4","S","642179.015","6074264.898"
"13C-4.E","1","3","C","4","E","642179.240","6074265.123"
"23A-1.O","2","3","A","1","O","642186.109","6074269.349"
"23A-1.I","2","3","A","1","I","642186.197","6074269.261"
"23A-1.N","2","3","A","1","N","642186.197","6074269.349"
"23A-1.W","2","3","A","1","W","642186.109","6074269.261"
"23A-2.O","2","3","A","2","O","642186.715","6074269.417"
"23A-2.I","2","3","A","2","I","642186.490","6074269.192"
"23A-2.N","2","3","A","2","N","642186.490","6074269.417"
"23A-2.E","2","3","A","2","E","642186.715","6074269.192"
"23A-3.O","2","3","A","3","O","642186.715","6074268.742"
"23A-3.I","2","3","A","3","I","642186.490","6074268.967"
"23A-3.S","2","3","A","3","S","642186.490","6074268.742"
"23A-3.E","2","3","A","3","E","642186.715","6074268.967"
"23A-4.O","2","3","A","4","O","642186.040","6074268.742"
"23A-4.I","2","3","A","4","I","642186.265","6074268.967"
"23A-4.S","2","3","A","4","S","642186.265","6074268.742"
"23A-4.W","2","3","A","4","W","642186.040","6074268.967"
"23B-1.O","2","3","B","1","O","642187.390","6074266.251"
"23B-1.I","2","3","B","1","I","642187.302","6074266.163"
