"SampleID","Block","Time","Chamber","Frag","Pos","ARA.dwt","Cells.dwt","Nostoc","Nostoc.H","Stigonema","Stigonema.H","Other.cells","Cells","H.cells","ARA","ARA.m","Position","Nfix","ARA.g"
"11C-2.O","1","1","C","2","O",608.2,50.8,10,2,20,1,2,57790.941269956,5417.90074405837,-5.93293051359517e-05,-4.94410876132931,"O",-1.97764350453172e-05,-9.75490054849583e-08
"11C-2.I","1","1","C","2","I",882.3,62.6,8,0,98,6,2,958466.453674121,53248.136315229,0.00658830480026855,549.025400022379,"I",0.00219610160008952,7.46719347191267e-06
"11C-2.S","1","1","C","2","S",839.9,60.2,0,0,28,8,0,258397.932816538,73827.980804725,0.00523374032638581,436.145027198818,"S",0.00174458010879527,6.23138507725421e-06
"11C-2.E","1","1","C","2","E",563.7,46.3,4,1,78,13,0,162482.414250897,27740.8999940555,0.00376674032638581,313.895027198818,"E",0.00125558010879527,6.68217194675503e-06
"11C-3.O","1","1","C","3","O",737.9,65.5,56,2,0,0,0,474978.795589483,16963.5284139101,-0.000162389728096677,-13.5324773413897,"O",-5.41299093655589e-05,-2.20070101770805e-07
"11C-3.I","1","1","C","3","I",494.8,43.8,6,1,86,7,2,1192288.17858955,101471.334348047,-5.03897280966767e-05,-4.1991440080564,"I",-1.67965760322256e-05,-1.01838577398296e-07
"11C-3.N","1","1","C","3","N",516.9,63.6,21,2,479,45,4,4402515.72327044,410552.061495458,-0.000150890110515916,-12.5741758763264,"N",-5.02967035053054e-05,-2.91913543269329e-07
"11C-3.E","1","1","C","3","E",463.6,48.9,0,0,0,0,0,0,0,-0.000185890110515916,-15.4908425429930,"E",-6.19633701719721e-05,-4.00970902752192e-07
"11C-4.O","1","1","C","4","O",637,81.7,4,0,21,5,0,169998.64001088,33999.728002176,0.000374549848942598,31.2124874118832,"O",0.000124849949647533,5.87990343708945e-07
"11C-4.I","1","1","C","4","I",823.6,60.2,0,0,25,3,0,38099.302020787,4571.91624249444,0.0021235498489426,176.962487411883,"I",0.000707849949647533,2.57837524155245e-06
"11C-4.S","1","1","C","4","S",957.4,83.5,4,1,35,4,0,259481.037924152,33266.7997338656,0.0021495498489426,179.129154078550,"S",0.000716516616314199,2.24519516288134e-06
"11C-4.W","1","1","C","4","W",772.6,68.8,17,2,92,6,0,880167.95865633,64599.4832041344,0.0032325498489426,269.37915407855,"W",0.0010775166163142,4.18398893210277e-06
"21A-1.O","2","1","A","1","O",286.3,37.5,0,0,0,0,1,14814.8148148148,0,-0.000149087436215240,-12.4239530179366,"O",-4.96958120717466e-05,-5.20738512802095e-07
"21A-1.I","2","1","A","1","I",572.6,85.1,0,0,18,3,0,117508.813160987,19584.8021934978,-0.000170087436215240,-14.1739530179366,"I",-5.66958120717466e-05,-2.97044073026964e-07
"21A-1.S","2","1","A","1","S",489.6,72.2,0,0,0,0,9,6232.68698060942,0,NA,NA,"S",NA,NA
"21A-1.E","2","1","A","1","E",899.1,44,0,0,17,1,0,19318.1818181818,1136.36363636364,NA,NA,"E",NA,NA
"21A-2.O","2","1","A","2","O",790,32.7,0,0,7,0,2,152905.198776758,0,-0.000131087436215240,-10.9239530179366,"O",-4.36958120717466e-05,-1.65933463563595e-07
"21A-2.I","2","1","A","2","I",707.5,36.6,4,0,18,1,0,30054.6448087432,1366.12021857923,-0.000141087436215240,-11.7572863512700,"I",-4.70291454050799e-05,-1.99416870975604e-07
"21A-2.N","2","1","A","2","N",1001.6,71,0,0,16,2,0,125195.618153365,15649.4522691706,NA,NA,"N",NA,NA
"21A-2.E","2","1","A","2","E",452.1,64.5,0,0,12,1,0,103359.173126615,8613.26442721791,NA,NA,"E",NA,NA
"21A-3.O","2","1","A","3","O",771.2,67.4,65,2,41,4,0,144284.430893202,8167.04325810579,3.2049115913556e-05,2.670759659463,"O",1.0683038637852e-05,4.15574635808558e-08
"21A-3.I","2","1","A","3","I",701.5,62.2,0,0,3,0,4,62522.3294033583,0,-0.000144950884086444,-12.079240340537,"I",-4.8316961362148e-05,-2.06629913166706e-07
"21A-3.N","2","1","A","3","N",772,98.2,0,0,27,2,0,152749.490835031,11314.7770988912,NA,NA,"N",NA,NA
"21A-3.W","2","1","A","3","W",849.5,71.8,0,0,19,2,0,24277.4271038307,2555.5186425085,NA,NA,"W",NA,NA
"21A-4.O","2","1","A","4","O",645.2,45.6,0,0,0,0,1,12183.2358674464,0,-0.000123975442043222,-10.3312868369352,"O",-4.13251473477407e-05,-1.92150406142626e-07
"21A-4.I","2","1","A","4","I",786.7,93.7,0,0,7,0,0,41503.6167437448,0,-0.000140975442043222,-11.7479535036018,"I",-4.69918140144073e-05,-1.79198477238111e-07
"21A-4.S","2","1","A","4","S",502.5,57.8,0,0,0,0,0,0,0,NA,NA,"S",NA,NA
"21A-4.W","2","1","A","4","W",743,42.6,0,0,15,2,7,286906.624934794,26082.4204486176,NA,NA,"W",NA,NA
"21B-1.O","2","1","B","1","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000301024557956778,-25.0853798297315,"O",-0.000100341519318926,NA
"21B-1.I","2","1","B","1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19754420432220e-05,1.83128683693517,"I",7.32514734774067e-06,NA
"21B-1.S","2","1","B","1","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,NA
"21B-1.E","2","1","B","1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",NA,NA
"21B-2.O","2","1","B","2","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000150024557956778,-12.5020464963982,"O",-5.00081859855926e-05,NA
"21B-2.I","2","1","B","2","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000738024557956778,-61.5020464963982,"I",-0.000246008185985593,NA
"21B-2.N","2","1","B","2","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"21B-2.E","2","1","B","2","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",NA,NA
"21B-3.O","2","1","B","3","O",398.5,51,0,0,33,7,0,359477.124183007,76252.7233115468,-0.000174024557956778,-14.5020464963982,"O",-5.80081859855927e-05,-4.36699016202705e-07
"21B-3.I","2","1","B","3","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000162024557956778,-13.5020464963982,"I",-5.40081859855927e-05,NA
"21B-3.S","2","1","B","3","S",963.5,38.9,0,0,26,3,2,399885.746929449,42844.9014567266,NA,NA,"S",NA,NA
"21B-3.W","2","1","B","3","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W",NA,NA
"21B-4.O","2","1","B","4","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000138073673870334,-11.5061394891945,"O",-4.6024557956778e-05,NA
"21B-4.I","2","1","B","4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.92632612966601e-06,0.410527177472168,"I",1.64210870988867e-06,NA
"21B-4.N","2","1","B","4","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"21B-4.W","2","1","B","4","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W",NA,NA
"21C-1.O","2","1","C","1","O",713,22.7,0,0,0,0,0,0,0,-0.000148281586842245,-12.3567989035204,"O",-4.94271956140817e-05,-2.07968564996136e-07
"21C-1.I","2","1","C","1","I",712.9,24.5,0,0,0,0,0,0,0,-0.000132281586842245,-11.0234655701871,"I",-4.40938622807483e-05,-1.85554196720781e-07
"21C-1.N","2","1","C","1","N",696,67.6,0,0,17,0,4,172583.826429980,0,NA,NA,"N",NA,NA
"21C-1.E","2","1","C","1","E",528.6,60.1,0,0,9,2,0,13738.5702727869,3053.01561617488,NA,NA,"E",NA,NA
"21C-2.O","2","1","C","2","O",702,47,0,0,29,0,4,390070.921985816,0,-0.000104281586842245,-8.69013223685375,"O",-3.4760528947415e-05,-1.48549269006047e-07
"21C-2.I","2","1","C","2","I",490.3,40.1,0,0,34,0,0,77787.1834176028,0,-0.000172281586842245,-14.3567989035204,"I",-5.74271956140817e-05,-3.51379944609923e-07
"21C-2.S","2","1","C","2","S",791.6,43.1,10,2,24,0,0,39443.1554524362,2320.18561484919,NA,NA,"S",NA,NA
"21C-2.W","2","1","C","2","W",915.6,95.5,0,0,5,1,3,7685.28747778472,960.66093472309,NA,NA,"W",NA,NA
"21C-3.O","2","1","C","3","O",1171.8,69.2,0,0,0,0,2,16056.5189466924,0,-4.42323049965486e-05,-3.68602541637905,"O",-1.47441016655162e-05,-3.77473160919514e-08
"21C-3.I","2","1","C","3","I",595.5,52.4,0,0,10,0,0,17508.2288675678,0,-0.00122723230499655,-102.269358749712,"I",-0.00040907743499885,-2.06084350125365e-06
"21C-3.N","2","1","C","3","N",559,54.7,0,0,39,3,0,396099.939061548,30469.2260816575,NA,NA,"N",NA,NA
"21C-3.W","2","1","C","3","W",818.7,72.3,0,0,0,0,0,0,0,NA,NA,"W",NA,NA
"21C-4.O","2","1","C","4","O",601.8,54.2,0,0,11,0,0,112751.127511275,0,-6.52323049965486e-05,-5.43602541637905,"O",-2.17441016655162e-05,-1.08395322360500e-07
