"SampleID","Block","Time","Chamber","Frag","Pos","grow01","Prod01","notes01","grow12","Prod12","notes12","grow23","Prod23","notes23","mg.cm","mg.mm"
"14B-1.I","1","4","B","1","1",7.03,NA,"",6.69,NA,"",5.15,NA,"",NA,NA
"14B-1.O","1","4","B","1","0",2.04,NA,"",3.31,NA,"",0.55,NA,"",NA,NA
"14B-1.S","1","4","B","1","S",3.31,NA,"",2.47,NA,"",1.99,NA,"",NA,NA
"14B-2.c","1","4","B","2","c",2.29,NA,"",3.62,NA,"loose",2.74,NA,"dry + curly",NA,NA
"14B-2.c2","1","4","B","2","c2",NA,NA,"",5,NA,"",2.18,NA,"curly",NA,NA
"14B-2.I","1","4","B","2","1",6.94,NA,"",6.7,NA,"loose",-5.53,NA,"loose, dry + curly",NA,NA
"14B-2.O","1","4","B","2","0",6.41,NA,"",4.26,NA,"",-0.53,NA,"dry + curly",NA,NA
"14B-2.W","1","4","B","2","W",NA,NA,"curly",2.06,NA,"",4.57,NA,"dry",NA,NA
"14B-3.c","1","4","B","3","c",2.11,NA,"",-0.72,NA,"dry",-0.28,NA,"",NA,NA
"14B-3.c2","1","4","B","3","c2",NA,NA,"",6.06,NA,"",6.36,NA,"",NA,NA
"14B-3.E","1","4","B","3","E",NA,NA,"",4.53,NA,"",5.83,NA,"",NA,NA
"14B-3.I","1","4","B","3","1",3.83,NA,"",5.47,NA,"",3.42,NA,"",NA,NA
"14B-3.O","1","4","B","3","0",2.79,NA,"",4.64,NA,"",-0.08,NA,"",NA,NA
"14B-4.I","1","4","B","4","1",9.23,NA,"",5.07,NA,"",2.18,NA,"curly",NA,NA
"14B-4.N","1","4","B","4","N",3.44,NA,"",-0.75,NA,"dry",5.6,NA,"curly",NA,NA
"14B-4.O","1","4","B","4","0",5.31,NA,"",5.33,NA,"",5.1,NA,"dry + curly",NA,NA
"14B-E.I","1","4","B","E","1",NA,NA,"",2.97,NA,"",6.14,NA,"",NA,NA
"14B-E.O","1","4","B","E","0",NA,NA,"curly",3.64,NA,"",6.97,NA,"",NA,NA
"14B-N.I","1","4","B","N","1",NA,NA,"",2.74,NA,"",5.48,NA,"",NA,NA
"14B-N.O","1","4","B","N","0",NA,NA,"",-3.02,NA,"",4.27,NA,"",NA,NA
"14B-S.I","1","4","B","S","1",NA,NA,"curly",1.44,NA,"",3.22,NA,"",NA,NA
"14B-S.O","1","4","B","S","0",NA,NA,"",4.99,NA,"",8.59,NA,"",NA,NA
"14B-W.I","1","4","B","W","1",NA,NA,"",2.25,NA,"",6.02,NA,"curly",NA,NA
